text,to_user_id,from_user,id,from_user_id,iso_language_code,source,profile_image_url,geo_type,geo_coordinates_0,geo_coordinates_1,created_at,time
#news #nowthatsghetto: 4.4 earthquake jolts the LA area - Los Angeles Times http://bit.ly/b1C0b1,,topbizops,10614247412,47528581,en,<a href="http://www.idmarketing.com.br/post-to-twitter/" rel="nofollow">Post to Twitter</a>,,,0,0,0,0
#nowplaying: 4.4 earthquake jolts the LA area - Los Angeles Times http://bit.ly/c2WYFR,,gettingsuckedin,10614247603,48928525,en,<a href="http://alexking.org/projects/wordpress" rel="nofollow">Twitter Tools</a>,,,0,0,0,0
#DRI Launches Online Mapping Tool for #Haiti #Earthquake #Medical Aid http://ow.ly/1iZcR #HelpHaiti,,cripiemonte,10614244198,90195745,en,<a href="http://www.hootsuite.com" rel="nofollow">HootSuite</a>,,,0,0,0,0
Wait So there was a 1.4 earthquake today? I thought that was a harly davidson driving by outside. #Quake #LongBeach,,samuellippke,10593196513,21230480,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
BTW whoever came up with that Venezuela earthquake/Tsunami warning for Jamaica hoax is a cocksucker of the highest degree.,,chadwyckp,10614265016,24058827,en,<a href="http://ubertwitter.com" rel="nofollow">UberTwitter</a>,,,0,0,0,0
@misssierraskye didnt ur cats act weird before the earthquake occurred they tend to sense it well before it happens; hope ur wellsweetheart,113524776,geoff777,10614610017,35202887,en,web,,,0,0,0,0
Horrific...sex-for-food...rape...abuse... in Hatian earthquake camps: http://bit.ly/aA0nOI #fb,,11Connects_Dana,10614600143,17313416,en,web,,,0,0,0,0
earthquake los angeles | Pipes Wired.com http://bit.ly/avHtf5,,leonkal,10614597123,53020263,en,<a href="http://tweetmeme.com" rel="nofollow">TweetMeme</a>,,,0,0,0,0
What people are saying about earthquake los angeles: http://www.tweeplesay.com/s/earthquake-los-angeles,,TweepleSay,10614575236,107348285,en,<a href="http://apiwiki.twitter.com/" rel="nofollow">API</a>,,,0,0,0,0
先ほどの続き。http://bit.ly/qq5E9　いや、やっぱり地震対策をしておかねば・・・。　#jishin #earthquake #saigai,,nadachin,10614570519,66322486,ja,web,,,0,0,0,0
RT @ADOMNews: Archdiocese of Miami Pastoral Plan for Earthquake Relief in Haiti http://shar.es/moloc,,SJBMiami,10614561369,116542843,en,web,,,0,0,0,0
banging the walls and cusing the shit out of everything im going to be louder than a earthquake,,muhmullet,10614560639,44222023,en,<a href="http://m.twitter.com/" rel="nofollow">mobile web</a>,,,0,0,0,0
@HansRosling 2004 Tsunami separate from earthquake that caused it? No bubbles...,20280065,unipmo,10614552623,21086309,en,web,,,0,0,0,0
Earthquake?,,initiallaw,10614532137,14499921,en,<a href="http://www.qtweeter.com" rel="nofollow">qTweeter</a>,,,0,0,0,0
#earthquake M 3.0 Puerto Rico region http://goo.gl/fb/Aypt,,earthquakes_,10614529801,100572430,en,<a href="http://www.google.com/support/youtube/bin/answer.py?hl=en&answer=164577" rel="nofollow">Google</a>,,,0,0,0,0
#earthquake M 2.9 Puerto Rico region http://goo.gl/fb/Mt34,,earthquakes_,10614529562,100572430,en,<a href="http://www.google.com/support/youtube/bin/answer.py?hl=en&answer=164577" rel="nofollow">Google</a>,,,0,0,0,0
4.4 Earthquake Shakes Los Angeles - http://su.pr/2ThFur,,RichardLaksana,10614519591,16516927,en,<a href="http://yusuke.homeip.net/twitter4j/" rel="nofollow">Twitter4J</a>,,,0,0,0,0
After earthquake a military Chile can love again: At Gen. Augusto Pinochet’s funeral one of his grandsons an ht... http://bit.ly/b4Afgp,,EarthquakeTest,10614508676,119579265,en,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,,,0,0,0,0
M 5.1 offshore Bio-Bio Chile #USGS #Earthquake http://bit.ly/dws0LORT @DisastersAlerts: M 5.1 offshore Bio-Bio... http://bit.ly/c2QbxZ,,EarthquakeTest,10614508118,119579265,en,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,,,0,0,0,0
M 3.0 Southern California #USGS #Earthquake http://bit.ly/c97ws3RT @DisastersAlerts: M 3.0 Southern California #... http://bit.ly/8ZsLS9,,EarthquakeTest,10614507228,119579265,en,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,,,0,0,0,0
