text,to_user_id,from_user,id,from_user_id,iso_language_code,source,profile_image_url,geo_type,geo_coordinates_0,geo_coordinates_1,created_at,time
RT @dd0s: #Freedom Photo: jinn: http://tumblr.com/xxt7csrfs http://bit.ly/dh8FmY #ccp #gfw #fuckgfw,,futurexcn,10408859781,121831516,en,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,,,0,0,0,0
RT @dd0s: #Freedom 【树洞】20100313更新: 【树洞】荨麻疹---网友张先生来信讲述他罹患荨麻疹的痛苦，从留言上看，这种免疫系统的疾病在今天越来越常见了。【树洞】下雨... http://bit.ly/cat1HL #ccp #gfw #fuckgfw,,futurexcn,10408862883,121831516,en,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,,,0,0,0,0
RT @dd0s: #Freedom 发现一个烦人的问题 Lucid 上的 Minefield 居然没法检查更新... 要累死我么... http://bit.ly/98ie1i #ccp #gfw #fuckgfw,,futurexcn,10408863876,121831516,en,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,,,0,0,0,0
RT @dd0s: #Freedom 98年，马化腾5人凑了50万创办腾讯，没买房；98年，史玉柱借了50万搞脑白金，没买房；99年，丁磊用50万创办163，没买房；99年，陈天桥炒股赚了50... http://bit.ly/bWGEbl #ccp #gfw #fuckgfw,,futurexcn,10408864685,121831516,en,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,,,0,0,0,0
RT @dd0s: #Freedom 访谈中，韩寒还透露，他近年的写作内容已经给父母的体制内工作带来了麻烦，于是他说服了父母提前退休。 via 《纽约时报》 http://bit.ly/d8fyrM #ccp #gfw #fuckgfw,,futurexcn,10408866287,121831516,en,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,,,0,0,0,0
Мы с вами - враги RT @vdem_ru:  http://is.gd/aqdtJ #Russia #putinism #censorship #Torproject http://www.torproject.org/ #Freedom,,Karl_Son,10408886796,52689298,en,<a href="http://www.hootsuite.com" rel="nofollow">HootSuite</a>,,,0,0,0,0
RT @dd0s: #Freedom 情趣推號一枚：@MineSex Bio: 和邪社影片社美影社.AV Digest.avno1.一劍浣春秋.品味美女.大宅萌.天天看女優.天天看正妹.寂寞派... http://bit.ly/aixKcc #ccp #gfw #fuckgfw,,futurexcn,10409872641,121831516,en,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,,,0,0,0,0
RT @dd0s: #Freedom HIV病毒攜帶者不得入內？: [读写人(duxieren.com)文摘] [文章来源：彭伦] 上個周末，在外灘M-on-the-Bund主持上海國際文學節... http://bit.ly/c1fNWD #ccp #gfw #fuckgfw,,futurexcn,10409873076,121831516,en,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,,,0,0,0,0
RT @dd0s: #Freedom 由于推特的阅读顺序是后推先看，造成分段叙事都是倒叙体。有一种时时闪回的奇特效果。刚才我读 @hutianyi 的老师卖书丢脸推，感觉象看一部后现代电影。 http://bit.ly/bgYvyH #ccp #gfw #fuckgfw,,futurexcn,10409873425,121831516,en,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,,,0,0,0,0
RT @dd0s: #Freedom 有情趣推號 @Avshare Bio: 自古情色不入流， 污浊淫秽伤眼球； 天朝绿坝今犹在， 跃身墙外觅自由。 http://bit.ly/buUcX7 #ccp #gfw #fuckgfw,,futurexcn,10409873816,121831516,en,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,,,0,0,0,0
RT @dd0s: #Freedom 色情推 @sexemule Bio: 专注于色情资源emule发布，18岁以下请勿fo，sex emule PN-17，推荐下载器http://aa.cx... http://bit.ly/cm2X4c #ccp #gfw #fuckgfw,,futurexcn,10409874311,121831516,en,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,,,0,0,0,0
RT @aurbolo @firozkhanks @shekharkapur Today is also the #anniversary of #Dandi march by #Gandhi ji #India #freedom #salt #march,,KiranKS,10410357771,75610842,en,web,,,0,0,0,0
Absolutely. RT @TweetOfTruth: Turn to Jesus He will set you free #Freedom #Deliverance #Joy #Peace,,beachybran,10410604841,24997980,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
RT @dd0s: #Freedom 平时搞一个土木工程都要搞几个方案反复评估，民主化是改造中国的大工程，在下不了水时花点功夫研究一下也不耽误什么 RT @mikeshi 民主这玩意儿，我看就... http://bit.ly/avccOi #ccp #gfw #fuckgfw,,futurexcn,10410844778,121831516,en,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,,,0,0,0,0
RT @dd0s: #Freedom 雷雷更健康么... http://bit.ly/byVenA #ccp #gfw #fuckgfw,,futurexcn,10410845158,121831516,en,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,,,0,0,0,0
RT @dd0s: #Freedom 那价钱差不太多了。RT @abcx: 完了，我也要中毒了。本来准备买个thinkpad玩玩就算了的。。。|| RT @xiaolai: 叫你爸爸把货退了，... http://bit.ly/9venYi #ccp #gfw #fuckgfw,,futurexcn,10410845514,121831516,en,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,,,0,0,0,0
RT @dd0s: #Freedom Yu Jianrong (于建嵘): Maintaining a Baseline of Social Stability (Part 7): Dr. Y... http://bit.ly/cyfOkW #ccp #gfw #fuckgfw,,futurexcn,10410845968,121831516,en,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,,,0,0,0,0
RT @dd0s: #Freedom Heartthrob’s Barbed Blog Challenges China’s Leaders: The New York Times has a... http://bit.ly/c3ts7D #ccp #gfw #fuckgfw,,futurexcn,10410846397,121831516,en,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,,,0,0,0,0
enjoying my #saturday as #freedom :),,sudhirporwal,10411385846,17832581,en,<a href="http://choqok.gnufolks.org" rel="nofollow">choqoK</a>,,,0,0,0,0
RT @dd0s: #Freedom RT @uponsnow: 关于《独唱团》难产，韩少表示，主要是因为其中有篇文章披露了被禁演员的黑名单细节。 via 《纽约时报》 本篇报道冉云飞 @ra... http://bit.ly/bJsMFM #ccp #gfw #fuckgfw,,futurexcn,10411745098,121831516,en,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,,,0,0,0,0
RT @dd0s: #Freedom 华尔街日报：林和立：中国的两会之忧 http://goo.gl/fb/fWj6 |#yizhe http://bit.ly/a1cW66 #ccp #gfw #fuckgfw,,futurexcn,10411745815,121831516,en,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,,,0,0,0,0
RT @dd0s: #Freedom RT @EnochLu: @yujie89 据我所知，在上海有秘密的左派组织，准备变天，国保的人也知道他们的存在，但是我还没有听说过他们中有谁被喝茶的呢。... http://bit.ly/cnGaTu #ccp #gfw #fuckgfw,,futurexcn,10411746522,121831516,en,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,,,0,0,0,0
RT @dd0s: #Freedom Photo: information leak http://tumblr.com/xxt7cw8kg http://bit.ly/ck1LaM #ccp #gfw #fuckgfw,,futurexcn,10411749237,121831516,en,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,,,0,0,0,0
RT @dd0s: #Freedom RT: @zhangming1: 社科院马克思主义研究院院长程恩富提议，要中国人口快速减到5个亿。我觉得为达此目的，非用原子弹不可。此为本年度第一号脑残提... http://bit.ly/dfHM1m #ccp #gfw #fuckgfw,,futurexcn,10411749725,121831516,en,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,,,0,0,0,0
