text,to_user_id,from_user,id,from_user_id,iso_language_code,source,profile_image_url,geo_type,geo_coordinates_0,geo_coordinates_1,created_at,time
RT @TweetOfTruth: It is not about reading the Word. It is about obeying the #Christian #Jesustweater #Bible #Books #God,,beachybran,10410583190,24997980,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
BW3 Reviews "The Sage from Galilee" #Jesus #God #Biblehttp://bit.ly/bOVbTB,,GoinsReport,10411740230,119250657,en,web,,,0,0,0,0
Yo Chicago #Godmodule & #Defcon are playing Sunday the 14th come out & show your support http://tiny.cc/xmfGe #music #industrial #EBM #love,,SRCBypass,10412586321,82922518,en,web,,,0,0,0,0
Save one soul at a time by using iChristian iphone app. -&gt;http://ow.ly/1gql2 #Apple#Jesus#God#life#heaven#Bible#gospel#goodnews,,fillmyheart10,10413784425,45112829,en,<a href="http://www.hootsuite.com" rel="nofollow">HootSuite</a>,,,0,0,0,0
Revelation 4:8 - Holy holy holy is the Lord God Almighty: Each of the four living creatures had six w... http://bit.ly/aakFZa #bible #God,,WeekOfPrayer,10413910555,110540750,en,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,,,0,0,0,0
カトリックと末日聖徒「モルモン教会」は公の場において宗教の自由を擁護するという点について，互いに重要なパートナーです。　http://bit.ly/93uSjh　#bible #god,,morumonkyou,10414999040,74637994,ja,web,,,0,0,0,0
Peace Kills:  http://bookmooch.com/B000GTHSP0 #a_hellrung #US #grdn #inv #chld #liter #entrtn #nfict #cook #parent #comcs #cmput #god #rom,,bookmooch,10416484965,85174314,en,<a href="http://apiwiki.twitter.com/" rel="nofollow">API</a>,,,0,0,0,0
@xsumax hummmm no problem#God knows everything,39339674,IAmPharel,10416561218,83855716,en,<a href="http://ubertwitter.com" rel="nofollow">UberTwitter</a>,,,0,0,0,0
#GOD #JESUS #truth Proverbs24:16 No matter how often honest people fall they always get up again; but disaster destroys the wicked.,,faithclubdotnet,10416633769,18178264,en,web,,,0,0,0,0
Christmas Bride (Grace Livingston Hill #62) http://bookmooch.com/0842313869 #phishbowl71 #US #fictn #rom #god #christ #liter,,bookmooch,10416640878,85174314,en,<a href="http://apiwiki.twitter.com/" rel="nofollow">API</a>,,,0,0,0,0
RT @faithclubdotnet: #GOD #JESUS #truth Proverbs24:16 No matter how often honest people fall they always get up again; but disaster des ...,,badgirlgonegude,10416680339,107460271,en,<a href="http://mobile.twitter.com" rel="nofollow">mobile web</a>,,,0,0,0,0
Preparing for Adolescence: Caution: Changes Ahead http://bookmooch.com/0830713840 #akalilliana #US #god #christ,,bookmooch,10416841094,85174314,en,<a href="http://apiwiki.twitter.com/" rel="nofollow">API</a>,,,0,0,0,0
#GOD #JESUS #truth Proverbs24:20 A wicked person has no futurenothing to look forward to.,,faithclubdotnet,10416851255,18178264,en,web,,,0,0,0,0
