text,to_user_id,from_user,id,from_user_id,iso_language_code,source,profile_image_url,geo_type,geo_coordinates_0,geo_coordinates_1,created_at,time
Sábado agitado até aqui no trampo = dimdim pra Dany #happy =D,,danuxca,10426724829,55731103,en,web,,,0,0,0,0
Me: I love you My 7 yr old: I love you more. In these small moments I count the blessings. #happy,,ljlobsinger,10426802734,31178153,en,<a href="http://twitterrific.com" rel="nofollow">Twitterrific</a>,,,0,0,0,0
За да се намръщиш ти трябват 43 мускула. За да се усмихнеш - само 17! #true #happy,,AboutMax,10426949112,111548594,en,web,,,0,0,0,0
@_Rya_ Wir haben heute so viele Unterschriften zusammen bekommen wie in den Wochen davor insgesamt! #happy,89234537,JanDoerrenhaus,10427389956,49373312,en,<a href="http://www.32hours.com/betwitteredinfo/" rel="nofollow">BeTwittered</a>,,,0,0,0,0
#happy about #F1 quali / i am hungry now cu in 1 or 2 hours here on twitter #Formula1 #SebP1,,mmainzer,10427481836,40203844,en,web,,,0,0,0,0
@ThisIsDSpan this true? If so CONGRATS! #Happy RT @SouhanStrib: I hear the #Twins just signed Denard Span for five years.,110189297,Lkummer,10427557399,30378079,en,<a href="http://ubertwitter.com" rel="nofollow">UberTwitter</a>,,,0,0,0,0
GODIVAのチョコレートおいしい！！幸せやぁ・・・！ #happy,,bluemooneternal,10427862930,88938895,ja,web,,,0,0,0,0
Wonderful mornin ; ) breakfast and mamosas..somebodiis tryna go in i c... #happy,,CiCiLaFoxXx,10428084056,110777190,en,<a href="http://tweeterena.com" rel="nofollow">Tweeterena</a>,,,0,0,0,0
#HAPPY #HAPPY #HAPPY #HAPPY,,ireneristy,10428186605,44335015,en,web,,,0,0,0,0
Wuhuu! Wochenende! Mann ist das cool! #happy,,fwbochum,10428293482,18784667,de,<a href="http://mowglii.com/itsy" rel="nofollow">Itsy!</a>,,,0,0,0,0
hoje eu vô viajar #happy o/,,brunadeecastro,10428328644,122104432,en,web,,,0,0,0,0
Recommend: Breakfast (BBC News Channel)  with #Ernie_Chambers on #BBCNEWS while feeling #happy http://www.bbc.co.uk/programmes/b00rhgf5,,NTSquareEyes,10428396165,94506807,en,<a href="http://apiwiki.twitter.com/" rel="nofollow">API</a>,,,0,0,0,0
Yo @Tish_B I got hot fries!!! #happydance #fistpump lol,,LMBoogie,10428464428,25772009,en,<a href="http://ubertwitter.com" rel="nofollow">UberTwitter</a>,,,0,0,0,0
@aeris hj eu to happy ontem peguei um samba bom num bar muito loko com os dois amores da minha vida! hj di novo vo pro role com elas! #happy,796213,selique,10428510974,39577349,en,web,,,0,0,0,0
