text,to_user_id,from_user,id,from_user_id,iso_language_code,source,profile_image_url,geo_type,geo_coordinates_0,geo_coordinates_1,created_at,time
Is having fun watching #harrypotter with the piglets! Sort of a pre-mothers day warm up! :-),,DaniAccy,10428421444,36795438,en,<a href="http://tinyurl.com/tweetcaster" rel="nofollow">TweetCaster</a>,,,0,0,0,0
"Um dia na Vida de #danielradcliffe" exclusivo no Brasil. 7890 http://migre.me/nVYd #harrypotterabout 1 hours ago via web,,DanRadcliffeBR,10428698165,51775635,en,web,,,0,0,0,0
ainda com raiva por que #HarryPotter não ganhou o #Oscar,,gabrielmsouza,10428807457,82232393,en,web,,,0,0,0,0
Ir pro Potter Rio ou pro Potter Sampa é coisa de pessoas muuuuuuuito viciada mesmo u_u por isso que eu vou   rs  #harrypotter,,tiomatheus,10430092375,113763372,en,web,,,0,0,0,0
sucky mood. time to watch #harrypotter,,mariatoumazou,10436461987,30653941,en,<a href="http://www.tweetdeck.com/" rel="nofollow">TweetDeck</a>,,,0,0,0,0
Having to substitute #HarryPotter in for real life situations so @oliviacoomer understands = Priceless! :),,Joshrmorris,10436489964,80666201,en,<a href="http://twitterrific.com" rel="nofollow">Twitterrific</a>,,,0,0,0,0
Popular video on my blog Bonnie Wright talks #HarryPotter at http://ow.ly/1jiqy,,scifitalk,10437646429,14576844,en,<a href="http://www.hootsuite.com" rel="nofollow">HootSuite</a>,,,0,0,0,0
http://twitpic.com/18dx5z - Hare-E Pawter! Am I in the right place??? #scifipawty #harrypotter,,ZackRabbit,10437856791,23870482,en,<a href="http://twitpic.com/" rel="nofollow">TwitPic</a>,,,0,0,0,0
:-D http://twitpic.com/18dx5z - Hare-E Pawter! #scifipawty #harrypotter (via @ZackRabbit),,mtlcritters,10438083617,18100062,en,<a href="http://www.atebits.com/" rel="nofollow">Tweetie</a>,,,0,0,0,0
eu deixo meu support #eclipse ou mudo para support #harrypotter ?,,heydriih,10438170831,93723142,en,web,,,0,0,0,0
"Um dia na Vida de #danielradcliffe" exclusivo no Brasil. 7890 http://migre.me/nVYd #harrypotter,,DanRadcliffeBR,10438591921,51775635,en,web,,,0,0,0,0
@ClubeDoSlugue "Um dia na Vida de #danielradcliffe" exclusivo no Brasil. 7890 http://migre.me/nVYd #harrypotter,33890206,DanRadcliffeBR,10438599057,51775635,en,web,,,0,0,0,0
RT @DanRadcliffeBR: "Um dia na Vida de #danielradcliffe" exclusivo no Brasil. 7890 http://migre.me/nVYd #harrypotter,,_freelove,10438605384,57646458,en,web,,,0,0,0,0
RT @DanRadcliffeBR: @ClubeDoSlugue "Um dia na Vida de #danielradcliffe" exclusivo no Brasil. 7890 http://migre.me/nVYd #harrypotter,,ClubeDoSlugue,10438641802,33890206,en,web,,,0,0,0,0
RT @DanRadcliffeBR: @ClubeDoSlugue "Um dia na Vida de #danielradcliffe" exclusivo no Brasil. 7890 http://migre.me/nVYd #harrypotter,,itsguiguerra,10438672075,50122554,en,web,,,0,0,0,0
@togechan "expectum petronas" spell di #harrypotter,33604132,exokewl,10439006139,50200467,en,<a href="http://ubertwitter.com" rel="nofollow">UberTwitter</a>,,,0,0,0,0
Kyuuu!!! #HarryPotter sigue haciendome suspirar xD,,SandyBluu,10439032664,18756916,en,<a href="http://www.seesmic.com/" rel="nofollow">Seesmic</a>,,,0,0,0,0
alle elementari #harrypotter mi faceva credere in qualcosa di impossibile. la magia non è svanita ancora...,,mancares,10439608994,75860962,en,web,,,0,0,0,0
sto rivedendo dopo anni ed anni #HarryPotter e la pietra filosofale *-* e mi sono ricordato di quanto può essere bello questo film,,SimoneArduini,10439838180,43138213,it,<a href="http://www.atebits.com/" rel="nofollow">Tweetie</a>,,,0,0,0,0
un bel pezzo di infanzia è in onda su italia 1 ** #HarryPotter,,SimoneArduini,10439865542,43138213,it,<a href="http://www.atebits.com/" rel="nofollow">Tweetie</a>,,,0,0,0,0
"exactly how did you get out of the castle harry?" "through the front door sir!" #harrypotter FTW.,,karab0zzyx,10440206356,59922403,en,web,,,0,0,0,0
chissà cosa vedrei io nello specchio delle brame... #harrypotter,,AnneStretter,10440547749,46693411,it,web,,,0,0,0,0
What would my Patronus be? http://tinyurl.com/ykds4kt #nerdfighter #harrypotter,,accio_awesome,10440973858,21607863,en,web,,,0,0,0,0
