text,to_user_id,from_user,id,from_user_id,iso_language_code,source,profile_image_url,geo_type,geo_coordinates_0,geo_coordinates_1,created_at,time
Special LIVE Huckabee on Fox NOW! #tcot #healthcare #gop #news,,xtegra2001,3199660734,27153572,en,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,http://s3.amazonaws.com/twitter_production/profile_images/351228454/twitterProfilePhoto_normal.jpg,,0,0,Sun 09 Aug 2009 00:00:26 +0000,1249776026
Obama plan: 4. Investing in prevention and wellness;  5. Providing portability of coverage; #obama  #aarp #hc09 #healthcare,,dbuscemi1949,3199662592,4882749,en,&lt;a href=&quot;http://twitterrific.com&quot;&gt;Twitterrific&lt;/a&gt;,http://s3.amazonaws.com/twitter_production/profile_images/78423180/Toninme_normal.jpg,,0,0,Sun 09 Aug 2009 00:00:36 +0000,1249776036
Obama plan (continued): 2 Making health coverage affordable   3. Protecting families’ financial health;  #hc09 #aarp #obama #healthcare,,dbuscemi1949,3199669750,4882749,en,&lt;a href=&quot;http://twitterrific.com&quot;&gt;Twitterrific&lt;/a&gt;,http://s3.amazonaws.com/twitter_production/profile_images/78423180/Toninme_normal.jpg,,0,0,Sun 09 Aug 2009 00:01:15 +0000,1249776075
President Obama's stated principles for health care reform: 1. Guaranteeing choice of health plans and physicians; #hc09 #aarp #healthcare,,dbuscemi1949,3199680119,4882749,en,&lt;a href=&quot;http://twitterrific.com&quot;&gt;Twitterrific&lt;/a&gt;,http://s3.amazonaws.com/twitter_production/profile_images/78423180/Toninme_normal.jpg,,0,0,Sun 09 Aug 2009 00:02:12 +0000,1249776132
Competition is admired in U.S.So why are folks outraged when PRIVATE plans have to compete with GOV plans to achieve quality HC? #healthcare,,dbuscemi1949,3199684919,4882749,en,&lt;a href=&quot;http://twitterrific.com&quot;&gt;Twitterrific&lt;/a&gt;,http://s3.amazonaws.com/twitter_production/profile_images/78423180/Toninme_normal.jpg,,0,0,Sun 09 Aug 2009 00:02:41 +0000,1249776161
Send healthcare questions to: huckmail@foxnews.com #tcot #gop #news #healthcare,,xtegra2001,3199685584,27153572,en,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,http://s3.amazonaws.com/twitter_production/profile_images/351228454/twitterProfilePhoto_normal.jpg,,0,0,Sun 09 Aug 2009 00:02:43 +0000,1249776163
RT @whitehouseThe President talks about what's in #healthcare insurance reform for you and what's not in it at all http://bit.ly/ytWfZ #hcr,,MissDixieKitty,3199717810,31298067,en,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,http://s3.amazonaws.com/twitter_production/profile_images/331354098/redhead_normal.jpg,,0,0,Sun 09 Aug 2009 00:05:43 +0000,1249776343
#hiring #healthcare #jobs: RESEARCH PROJECT ASSOCIATE in Falls Church VA http://bit.ly/F8doy source: wpost,,jobsonwashpost,3199749803,28592596,en,&lt;a href=&quot;http://yusuke.homeip.net/twitter4j/&quot;&gt;Twitter4J&lt;/a&gt;,http://s3.amazonaws.com/twitter_production/profile_images/316003288/TwitterJobsIcon_normal.gif,,0,0,Sun 09 Aug 2009 00:08:49 +0000,1249776529
@NReeding look at the polls on support for #healthcare and for #Obama in general...spin spin spin but America is waking up #tcot #p2,19597091,FinanceBuzz,3199776204,436301,en,&lt;a href=&quot;http://www.atebits.com/&quot;&gt;Tweetie&lt;/a&gt;,http://s3.amazonaws.com/twitter_production/profile_images/346924667/ObamaJokerSocialism_normal.jpg,,0,0,Sun 09 Aug 2009 00:11:19 +0000,1249776679
@bjflanagan #healthcare distortions r coming from liberal politicians who haven't  read the bill &amp; from the  #obama administration. Read,1828996,TCTaxTeaParty,3199793621,20020491,en,&lt;a href=&quot;http://www.tweetdeck.com/&quot;&gt;TweetDeck&lt;/a&gt;,http://s3.amazonaws.com/twitter_production/profile_images/248472996/tea-party-day-st-lucie_normal.jpg,,0,0,Sun 09 Aug 2009 00:12:59 +0000,1249776779
