text,to_user_id,from_user,id,from_user_id,iso_language_code,source,profile_image_url,geo_type,geo_coordinates_0,geo_coordinates_1,created_at,time
#faktanya semenjak gue nonton #indonesianidol gue ga berani tidur sendiri,,rirhanabila,10430285477,61704396,en,<a href="http://m.tweete.net/" rel="nofollow">Mobile Tweete</a>,,,0,0,0,0
Loh? Emang kenapa? RT @rirhanabila: #faktanya semenjak gue nonton #indonesianidol gue ga berani tidur sendiri,,maudymamaw,10430475644,96693527,en,<a href="http://m.tweete.net/" rel="nofollow">Mobile Tweete</a>,,,0,0,0,0
Nyeremin horor banget dah RT @maudymamaw: Loh? Emang kenapa? RT @rirhanabila: #faktanya semenjak gue nonton #indonesianidol gue ga,,rirhanabila,10430541443,61704396,en,<a href="http://m.tweete.net/" rel="nofollow">Mobile Tweete</a>,,,0,0,0,0
RT @earthquaketrack: Recent Worldwide #Earthquake List - USGS : M 5.7 Nias #Indonesia http://bit.ly/9tIdca Full http://bit.ly/cIgcXW,,budwebID,10430563628,18408093,en,<a href="/devices" rel="nofollow">txt</a>,,,0,0,0,0
What u #thankful today? @jezzound thank for Mr.President #BarackObama who will visit his old town in #jakarta #indonesia and visit #bali too,,jezzound,10436524241,56296226,en,<a href="http://www.twibble.de/" rel="nofollow">twibble</a>,,,0,0,0,0
#indonesia HARGA YAMAHA RAPTOR - Archive Search - Berita Top Indonesia http://bit.ly/9E5pAd,,indotops,10437273070,87243865,en,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,,,0,0,0,0
#indonesia G2DAF AMPLIFIER - Archive Search - Berita Top Indonesia http://bit.ly/ciafmP,,indotops,10437273472,87243865,en,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,,,0,0,0,0
#indonesia JUAL CASING PC UNIK DI JAKARTA SELATAN - Archive Search - Berita Top Indonesia http://bit.ly/962n1v,,indotops,10437274213,87243865,en,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,,,0,0,0,0
#indonesia CONTOH DIALOG DRAMA LUCU ACARA DALAM REUNI - Archive Search - Berita Top Indonesia http://bit.ly/bGTiNW,,indotops,10437274862,87243865,en,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,,,0,0,0,0
#indonesia MTTDOODLE DOWNLOAD - Archive Search - Berita Top Indonesia http://bit.ly/8XZFcY,,indotops,10437275540,87243865,en,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,,,0,0,0,0
Fuerte terremoto sacude Papúa #Indonesia http://3.ly/zlOo #chile #terremotochile,,zuargo,10437542085,18434577,es,<a href="http://identi.ca" rel="nofollow">identica</a>,,,0,0,0,0
lagi download lagu one republic lagunya cukup keras #Indonesia http://koprol.com/s/31d5,,bpptwiter,10438069577,27207029,en,<a href="http://koprol.com" rel="nofollow">Koprol</a>,,,0,0,0,0
#indonesia dung dung dung! Indonesia! Garuda di dadaku! RT @kompasdotcom: Nyanyian Angsa Nova/Butet http://bit.ly/cTwDmF,,sapee_SH,10439009891,63662025,en,<a href="http://ubertwitter.com" rel="nofollow">UberTwitter</a>,,,0,0,0,0
Lampung.. #lampung #indonesia,,awanabunadi,10439271882,68589232,en,<a href="http://ubertwitter.com" rel="nofollow">UberTwitter</a>,,,0,0,0,0
#indonesia HARGA TOSHIBA COSMIO X505 RUPIAH - Search of Berita Top Indonesia http://bit.ly/aXcxI4,,indotops,10439341148,87243865,en,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,,,0,0,0,0
#indonesia CHRIBIER - Search of Berita Top Indonesia http://bit.ly/92SpwS,,indotops,10439341530,87243865,en,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,,,0,0,0,0
#indonesia VIDOCK2 MANCHESTER - Search of Berita Top Indonesia http://bit.ly/9Edh8o,,indotops,10439342103,87243865,en,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,,,0,0,0,0
#indonesia QURAN TUITION IN BLACKBURN - Search of Berita Top Indonesia http://bit.ly/dacq1K,,indotops,10439342703,87243865,en,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,,,0,0,0,0
#indonesia T90X DVD - Search of Berita Top Indonesia http://bit.ly/ceBHS6,,indotops,10439343534,87243865,en,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,,,0,0,0,0
#indonesia Taliban Klaim Bertanggungjawab Atas Serangan Bom di Afghanistan: Kelompok Taliban mengklaim bertanggung... http://bit.ly/czKcCG,,idbreakingnews,10439564605,109843187,en,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,,,0,0,0,0
