text,to_user_id,from_user,id,from_user_id,iso_language_code,source,profile_image_url,geo_type,geo_coordinates_0,geo_coordinates_1,created_at,time
@ShiLove7 @Kavita_Bisht @Sashiie @4prina @desireedoucette @aM1NEm @Reward_Mall &lt;&lt; #FF #Love | RT @mlomb,36877024,devsandbox,11781442338,87468962,en,web,,,0,0,0,0
Woop!  That deficit gone!  :) RT @Witterbird84: @kelsey_feed You gotta to love the power of Old Trafford #united #loveunitedhateglazer,,kelsey_feed,11781520342,109455758,en,<a href="http://echofon.com/" rel="nofollow">Echofon</a>,,,0,0,0,0
Feel the brilliant white light move into your ♥ allowing U to shine. #Love,,DharmaTalks,11781872327,26747105,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
@devsandbox @FnkyNCake @GFLBLUE @kevinmbul @CateyeMinty @EbbzRichelle &lt;&lt; #FF #Love,87468962,dahara,11781863680,27290606,en,web,,,0,0,0,0
#lastfm #love GlassHole by Matthew Florianz http://bit.ly/aCsINa,,TearSong,11781875415,15484350,en,<a href="http://lastfmlovetweet.com/" rel="nofollow">LastfmLoveTweet</a>,,,0,0,0,0
RT @TheDailyLove: If you #LoveYourself and choose to be happy from now on RT!! #TDL,,Lee_R_,11781897075,38228869,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
So cute! Elephant seal shows love & affection to a human photographer on the beach: http://bit.ly/aKGaui (video) #love,,deva1111,11782675254,42893168,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
RT @dahara: #FF »---(¯`v´¯)---» #Love @RyanKBiddulph @Heatmizer_626 @BrianRowlands @AnalyzingKitty @1dionroyfan @teamwinnipeg,,AnalyzingKitty,11782660367,84671765,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
RT @TheDailyLove: If you #LoveYourself and choose to be happy from now on RT!! #TDL,,RimaIsmail,11782674548,29534532,en,<a href="http://echofon.com/" rel="nofollow">Echofon</a>,,,0,0,0,0
Stubblin into #Love??....#clockout,,TheWholiganX,11781894360,53615102,en,<a href="http://twitterrific.com" rel="nofollow">Twitterrific</a>,,,0,0,0,0
