text,to_user_id,from_user,id,from_user_id,iso_language_code,source,profile_image_url,geo_type,geo_coordinates_0,geo_coordinates_1,created_at,time
Spaghetti bag explosion...my kitchen floors now resembles a cross between a game of Pick-up Sticks and the album cover of #SOTU lol,,Btrflyinthewind,10501264037,27281504,en,web,,,0,0,0,0
30 mil no health ins.  0.09% of US population.  Cost 1 tril over 10 yrs=100mil/year. You tell me good deal? #SOTU  We can do better.,,tracebowles,10565777161,109131385,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
The Prez is on a role as he approaches the end. Great example of varying pace and volume for all you presenters out there. #sotu #obama,,may1980kitty01,10605462595,120973642,en,web,,,0,0,0,0
Watching #SOTU at 4am - Jerusalem time!,,xolaurenxo805,10666706846,122891853,en,web,,,0,0,0,0
BorowitzReport out-tweets prez Obama about #SOTU. Winner: Me for setting phone to vibrate @6,,ChristianY7,10739373428,106819554,en,web,,,0,0,0,0
Michelle and Jill join forces to assist military families that is good news indeed #sotu,,monique85878,10760998541,121791458,en,web,,,0,0,0,0
RT @destinybrown001: #YouAintForMe if u dont call or check on me... attention is a most.. if i dont have it then i rather be single #SOTURE,,LadychacheHSE,10702923352,101566546,en,<a href="http://www.seesmic.com/" rel="nofollow">Seesmic</a>,,,0,0,0,0
The #SOTU says more help for #solarpower! That means #FPL better get ready! Get your #solar quote today http://bit.ly/dAwPwa,,ElectronSolarKK,10891637329,108967140,en,<a href="http://apiwiki.twitter.com/" rel="nofollow">API</a>,,,0,0,0,0
Please RT/FW: Journalists/journalism students needed for online study of our Twitter viz tool http://bit.ly/bGrDU6 (for #SOTU). Win $50!,,informor,10992474468,70478255,en,<a href="http://www.hootsuite.com" rel="nofollow">HootSuite</a>,,,0,0,0,0
RT @informor: Journalists/journalism students needed for online study of our Twitter viz tool http://bit.ly/bGrDU6 (for #SOTU) please RT/FW,,sageeb,10993748238,14880952,en,<a href="http://www.snaptu.com/a/twitter" rel="nofollow">Snaptu</a>,,,0,0,0,0
I want to be Prez so I can initimidate the Supreme Court as they are forced to sit there and take it.  #sotus #tcot,,pkoshRobin,11016904933,124457516,en,web,,,0,0,0,0
so apparently in the four hours I was away from binary for a class and then dinner I missed the #SOTU and HOWARD ZINN DIED?! NOOOOOOOOO! ;_;,,MaritzajCE0,11017192240,105917863,en,web,,,0,0,0,0
@fakerparis1 Dude it has real hair. Going to the London one in a week #SoTuggingOnWaxRobsHair,120253393,ShinyVolvoLurve,11086441548,92020315,en,<a href="http://mobile.twitter.com" rel="nofollow">mobile web</a>,,,0,0,0,0
point out the corporate prostitutes in Congress...Yes sirs that includes you. #SOTU,,PriscillaF7,11105643503,106786598,en,web,,,0,0,0,0
RT @Shoq: "Trying to be bipartisan with the GOP is like trying to domesticate sharks." -@otoolefan #sotu #p2 #tcot,,Mona_B2010,11228616766,51310793,en,web,,,0,0,0,0
RT @Shoq: "Trying to be bipartisan with the GOP is like trying to domesticate sharks." -@otoolefan #sotu #p2 #tcot,,rmuse,11228847265,15635264,en,web,,,0,0,0,0
RT @Shoq: "Trying to be bipartisan with the GOP is like trying to domesticate sharks." -@otoolefan #sotu #p2 #tcot,,LowRentRat,11228692791,30764043,en,web,,,0,0,0,0
RT @Shoq: "Trying to be bipartisan with the GOP is like trying to domesticate sharks." -@otoolefan #sotu #p2 #tcot,,donaldc4,11228798822,19508555,en,web,,,0,0,0,0
RT @Shoq: "Trying to be bipartisan with the GOP is like trying to domesticate sharks." -@otoolefan #sotu #p2 #tcot,,winterthur,11228813989,16474992,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
RT @Shoq: "Trying to be bipartisan with the GOP is like trying to domesticate sharks." -@otoolefan #sotu #p2 #tcot,,staciahawk,11228902146,65765694,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
RT @singlepayer: RT @patticar: RT @Shoq: "Trying to be bipartisan with the GOP is like trying to domesticate sharks." -@otoolefan #sotu  ...,,sindad1,11229795706,22804904,en,web,,,0,0,0,0
RT @Shoq: "Trying to be bipartisan with the GOP is like trying to domesticate sharks." -@otoolefan #sotu #p2 #tcot,,brianwestcottnc,11230233371,70853267,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
"In the 21st century one of the best anti-poverty programs is a world-class education." #SOTU,,deja39cd1,11232492060,106342461,en,web,,,0,0,0,0
RT @singlepayer: RT @patticar: RT @Shoq: "Trying to be bipartisan with the GOP is like trying to domesticate sharks." -@otoolefan #sotu  ...,,patticar,11283021720,18737621,en,web,,,0,0,0,0
"The more that TV pundits reduce serious debates to silly arguments big issues into sound bites our citizens turn away." #SOTU,,sexylama4uHarr,11461561207,125547502,en,web,,,0,0,0,0
The #SOTU says more help for #solarpower! That means #FPL better get ready! Get your #solar quote today http://bit.ly/dAwPwa,,ElectronSolarKK,11780522668,108967140,en,<a href="http://apiwiki.twitter.com/" rel="nofollow">API</a>,,,0,0,0,0
The #SOTU says more help for #solarpower! That means #FPL better get ready! Get your #solar quote today http://bit.ly/dAwPwa,,healthyrevo,11892450942,93187073,en,<a href="http://apiwiki.twitter.com/" rel="nofollow">API</a>,,,0,0,0,0
they say music changed a lot since u first dropped #SOTU... I say music gonna change a lot when i drop #LBJ,,DJ_BERN,12026244611,39441852,en,web,,,0,0,0,0
#FollowFriday Yahya E. B. Henry @YahyaHenry | :: aribra :: | sustainable development http://bit.ly/4qOM0z | #SOTU #sustainable,,TonyMackGD,12408314205,17789501,en,<a href="http://apiwiki.twitter.com/" rel="nofollow">API</a>,,,0,0,0,0
I will be live-blogging the #SOTU today starting at 8:45pm address starts at 9:00pm http://tinyurl.com/alexforofficeSOTU2010liveblog,,AlexForOffice,8303926609,3664050,en,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,http://a3.twimg.com/profile_images/106359899/profilepic_normal.jpg,,0,0,Wed 27 Jan 2010 21:40:28 +0000,1264628428
RT @MelissaTweets: RT @toddeherman: &quot;Rham set the TelePrompter on level-ten deception mode.&quot; #sotu #tcot,,nobamablog,8302593414,5396003,en,&lt;a href=&quot;http://www.tweetdeck.com/&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;,http://a3.twimg.com/profile_images/596107601/nobamalogo_normal.jpg,,0,0,Thu 28 Jan 2010 01:03:25 +0000,1264640605
RT @susiemay: Countdown to #SOTU,,southerntalker,8302594583,6170475,en,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,http://a1.twimg.com/profile_images/569033440/twitterProfilePhoto_normal.jpg,,0,0,Thu 28 Jan 2010 01:03:27 +0000,1264640607
