text,to_user_id,from_user,id,from_user_id,iso_language_code,source,profile_image_url,geo_type,geo_coordinates_0,geo_coordinates_1,created_at,time
RT @TPO_Hisself: Woud you pay $1 a month to get the Socialists out of office? !   http://digg.com/u1BkxQ  #TCOT #Rush #TeaParty,,regiska,10509454661,70177494,en,web,,,0,0,0,0
RT @RonPaulNews Daily Paul: Picture: #RonPaul and Michael Steele - End the Fed!  http://rago.ca/32Z #tcot #tlot #p2 #libertarian #teaparty,,newsdaver,10509364869,959921,en,<a href="http://apiwiki.twitter.com/" rel="nofollow">API</a>,,,0,0,0,0
Obama screws Israel on Iran! http://www.debka.com/article/8651/  #Christian #Judaism #RNC #DNC #Hannity #Obamafail #Teaparty #tcot #jcot,,reuvan90,10509096904,48416183,en,web,,,0,0,0,0
RT @annajanek The 9/11 hijackers are alive says the chief of Japans Democr:  http://rago.ca/445 #tcot #tlot #p2 #libertarian #teaparty #gop,,newsdaver,10509090158,959921,en,<a href="http://apiwiki.twitter.com/" rel="nofollow">API</a>,,,0,0,0,0
RT @GregWHoward #Teaparty on 3/16 in DC plans to invade halls of Congress. Yes face 2 face now  http://bit.ly/a2MCre #tcot #ocra #sgp #hhrs,,Dataaide,10509055935,36741409,en,<a href="http://tweetminer.net" rel="nofollow">TweetMiner</a>,,,0,0,0,0
See @stubborn_facts Lincoln Journal Star Article on February 19 Sovereignty.. http://bit.ly/bgbMcR #teaparty #tporg,,R3publicans,10509021909,85038374,en,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,,,0,0,0,0
Stop Rcncliation! http://getbigideas.blogspot.com/2010/03/call-congress-now.html #gop #tcot #tlot #teaparty #healthcare #obama #ingraham,,getbigideas,10508927126,41251799,en,web,,,0,0,0,0
The Shell Game Shuffle - Let the Games Begin http://goo.gl/fb/PIOq #tcot #teaparty,,RubySlipperblog,10508860430,66324482,en,<a href="http://www.google.com/support/youtube/bin/answer.py?hl=en&answer=164577" rel="nofollow">Google</a>,,,0,0,0,0
Simple- Obamas Socialist agenda failed on schedule due to #teaparty so #coffeeparty is Soros answer CPUSA #tcot,,mossinterest,10508804622,21227726,en,web,,,0,0,0,0
RT @RonPaulNews LRC Blog: Dr. of Visionary Studies  http://rago.ca/3zV #tcot #tlot #p2 #libertarian #teaparty #gop #ocra #ucot #iamthemob,,newsdaver,10508739645,959921,en,<a href="http://apiwiki.twitter.com/" rel="nofollow">API</a>,,,0,0,0,0
New Blog Post Lincoln Journal Star Article on February 19 Sovereignty Hearing Requires Commments: ... http://bit.ly/939FXV #tporg #teaparty,,Stubborn_Facts,10508725378,17934423,en,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,,,0,0,0,0
See @stubborn_facts Lincoln Journal Star Article on February 19 Sovereignty Hearing Requires Commm... http://bit.ly/939FXV #teaparty #tporg,,scrosnoe,10508725207,15741724,en,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,,,0,0,0,0
#coffeeparty is strictly a socialist agenda to support Obama in answer to #teaparty Patriots seek limits on Gov- #tcot,,mossinterest,10508608738,21227726,en,web,,,0,0,0,0
AIPAC to White House: Defuse tensions keep issues behind closed doors | Capital J | J.. http://bit.ly/bbIbdK #Obamafail #Teaparty #Jews,,reuvan90,10508562088,48416183,en,web,,,0,0,0,0
#coffeeparty installing malicious software manipulate media to label #teaparty RACISTS and Obama propaganda IS NOT CIVIL DISCOURSE #tcot,,mossinterest,10508552692,21227726,en,web,,,0,0,0,0
#Teaparty is about discourse to restore back Constitution in Gov - #coffeeparty is about stopping them for Obama PERIOD #tcot,,mossinterest,10508503653,21227726,en,web,,,0,0,0,0
NO 2 Rcncliation! Call these: http://bit.ly/aGNYQM #teaparty #hannity #dnc,,getbigideas,10508429240,41251799,en,web,,,0,0,0,0
RT @HeyTammyBruce: New #Palin on FB: With a Stiff Spine America Must Stand Against Obamacare http://is.gd/aDTKx #tbrs #tcot #icon #teaparty,,rdsanchezjr,10508417026,105560657,en,web,,,0,0,0,0
@StevenWard yall #coffeeparty can play that Patriot stuff til the cows come home but nobody will buy it- U R just anti #teaparty is all,7396812,mossinterest,10508403689,21227726,en,web,,,0,0,0,0
RT @dominionpundit #UK Churches Oppose Mosque Plan  #Islam #Sharia #tcot #tory http://rago.ca/4bf #tlot #p2 #libertarian #teaparty #gop,,newsdaver,10508393284,959921,en,<a href="http://apiwiki.twitter.com/" rel="nofollow">API</a>,,,0,0,0,0
@StevenWard that would be great if it were true BUT real agenda is attack characters of #teaparty 1st with slander- I read it #coffeeparty,7396812,mossinterest,10508369219,21227726,en,web,,,0,0,0,0
Did the Tucson Liberal Christian Examiner lie about a ... http://bit.ly/dBxdPi #glennbeck #gop #teaparty,,politicalwind,10508345671,89353757,en,<a href="http://apiwiki.twitter.com/" rel="nofollow">API</a>,,,0,0,0,0
RT @RonPaulNews Denninger: CPI Number Reported INTENTIONALLY INCORRECT?   http://rago.ca/2FB #tcot #tlot #p2 #libertarian #teaparty #gop,,newsdaver,10508323641,959921,en,<a href="http://apiwiki.twitter.com/" rel="nofollow">API</a>,,,0,0,0,0
ADL push back on U.S. criticism of Israel | JTA - Jewish & Israel News http://bit.ly/9cCIAf #teaparty #tcot #tlot #jcot #Christian #Israel,,reuvan90,10508308678,48416183,en,<a href="http://tweetmeme.com" rel="nofollow">TweetMeme</a>,,,0,0,0,0
RT @blogging_tories Dr Roy: Prof Joel Kotek  #roft #bt http://rago.ca/47M #tcot #tlot #p2 #libertarian #teaparty #gop #ocra #ucot,,newsdaver,10508256569,959921,en,<a href="http://apiwiki.twitter.com/" rel="nofollow">API</a>,,,0,0,0,0
RT @annajanek JWisdom — Shows  http://rago.ca/43E #tcot #tlot #p2 #libertarian #teaparty #gop #ocra #ucot #iamthemob #rightriot,,newsdaver,10508182929,959921,en,<a href="http://apiwiki.twitter.com/" rel="nofollow">API</a>,,,0,0,0,0
Sign Petition: NO Hlthcr Reconciliation: http://www.freedomworks.org/landing/noreconciliation/index.php #hrc #teaparty #rncwomen #liberty,,getbigideas,10508131363,41251799,en,web,,,0,0,0,0
RT @SarahStormRpt: FORUM: Palin is much more than a punchline http://dlvr.it/D1Hv #teaparty #912 #tsot #palin12 #spwbt #sgp,,rdsanchezjr,10508057377,105560657,en,web,,,0,0,0,0
@pludk increasing exports is of paramount importance we can offer to imprision enemies of our friends at competitive rates #tcot #teaparty,80923709,boingist,10508053484,24565143,en,<a href="http://www.atebits.com/" rel="nofollow">Tweetie</a>,,,0,0,0,0
RT @johnnyA99 RT @jerseynut09Gibbs: #Obama "Out of the Loop" on KSM Trial  http://rago.ca/3Tv #tcot #tlot #p2 #libertarian #teaparty #gop,,newsdaver,10508036445,959921,en,<a href="http://apiwiki.twitter.com/" rel="nofollow">API</a>,,,0,0,0,0
If this #hrc passes peaceful civil disobedience may be in order. We may have to risk personal freedom to gain Liberty. #TeaParty #tcot #gop,,GreatDebateUSA,10508022902,98711526,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
@AnahitaNemat Peaceful grassroots protests are anathema to Left-Wing Idealogues #teaparty,21703263,pcam,10507801734,18205674,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
@FloridaPundit has a very good site. Check it out: http://floridapundit.com/  #tcot #TeaParty #gop,18155408,GreatDebateUSA,10507795787,98711526,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
Glenn Beck Trys To Smear Debra Medina As A 911 Truther - Blatant ... http://bit.ly/9CwagP #glennbeck #gop #teaparty,,politicalwind,10507759827,89353757,en,<a href="http://apiwiki.twitter.com/" rel="nofollow">API</a>,,,0,0,0,0
RT @ScottWGraves: BARONE: "Tea Partiers Bring Energy Change and Tumult to #GOP" http://bit.ly/bP1hHC #tcot #teaparty #sgp,,kmajohansson,10507713293,20431160,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
RT @RonPaulNews LRC: When To Buy More Gold: Jeff Clark on how to know.  http://rago.ca/3rN #tcot #tlot #p2 #libertarian #teaparty #gop,,newsdaver,10507691289,959921,en,<a href="http://apiwiki.twitter.com/" rel="nofollow">API</a>,,,0,0,0,0
BARONE: "Tea Partiers Bring Energy Change and Tumult to #GOP" http://bit.ly/bP1hHC #tcot #teaparty #sgp,,ScottWGraves,10507682329,16051808,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
Agree. Right Parties can only win from the centre. RT @win_elections: The #teaparty will be the death of the #Republican party.,,jbereklewis,10507676848,82038326,en,<a href="http://echofon.com/" rel="nofollow">Echofon</a>,,,0,0,0,0
@STL_Politics hmm BET U kno DANA LEECH  ? end of story ! #STL #TCOT #TEAPARTY KOOK,23515063,slackadjuster,10507644183,16082787,en,<a href="http://www.tweetdeck.com/" rel="nofollow">TweetDeck</a>,,,0,0,0,0
RT @infowars Body scanners invade privacy says internet campaigner   http://rago.ca/2rA #tcot #tlot #p2 #libertarian #teaparty #gop #ocra,,newsdaver,10507622153,959921,en,<a href="http://apiwiki.twitter.com/" rel="nofollow">API</a>,,,0,0,0,0
COINTELPRO agents infiltrating churches #p2 #sgp #ocra #tcot #TEAparty #washdc #nypost #glennbeck #nytimes #huffpost http://bit.ly/c9jtXg,,USAPatriot1966,10507603746,105261287,en,<a href="http://bit.ly" rel="nofollow">bit.ly</a>,,,0,0,0,0
FORUM: Palin is much more than a punchline http://dlvr.it/D1Hv #teaparty #912 #tsot #palin12 #spwbt #sgp,,SarahStormRpt,10507599487,61664536,en,<a href="http://dlvr.it" rel="nofollow">dlvr.it</a>,,,0,0,0,0
RT @blogging_tories Canadiansense: Reality Check Pollsters  #roft #bt http://rago.ca/3UV #tcot #tlot #p2 #libertarian #teaparty #gop #ocra,,newsdaver,10507552684,959921,en,<a href="http://apiwiki.twitter.com/" rel="nofollow">API</a>,,,0,0,0,0
Radio Talk Show Host Calls for Expulsion of Rep. Slaughter from House of Representatives http://om.ly/gyLN #tcot #teaparty #gop,,FloridaPundit,10507515222,18155408,en,<a href="http://objectivemarketer.com" rel="nofollow">otweet</a>,,,0,0,0,0
RT @fsforum:  WSJ forecasting survey shows  economists credit Fed for alleviating the financial crisis: http://bit.ly/970LuI #912 #teaparty,,MatthewKBurke,10507504816,25579796,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
Lyn_Sue: Contact your reps. FAX FREE FROM HERE http://ciafax.ning.com/ #CIA #tcot #912project #phnm #TeaParty http://ff.im/-hwPl6,,freedom4USA,10507405465,16465690,en,<a href="http://friendfeed.com" rel="nofollow">FriendFeed</a>,,,0,0,0,0
RT @rsmccain: Introducing ObamaCare 2.0: The 2309-Page Scam That Will Live in Infamy: http://bit.ly/aVWUwy [] #TeaParty #tcot,,XtyMiller,10507372639,18431625,en,web,,,0,0,0,0
RT @infowars And now for Africagate   http://rago.ca/1x5 #tcot #tlot #p2 #libertarian #teaparty #gop #ocra #ucot #iamthemob #rightriot,,newsdaver,10507334743,959921,en,<a href="http://apiwiki.twitter.com/" rel="nofollow">API</a>,,,0,0,0,0
RT @rsmccain: Introducing ObamaCare 2.0: The 2309-Page Scam That Will Live in Infamy: http://bit.ly/aVWUwy [] #TeaParty #tcot,,GreatDebateUSA,10507318159,98711526,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
Palin to aid candidate by hosting fundraiser http://bit.ly/afCByT #sarahPalinusa #gop #teaparty,,politicalwind,10507286394,89353757,en,<a href="http://apiwiki.twitter.com/" rel="nofollow">API</a>,,,0,0,0,0
