text,to_user_id,from_user,id,from_user_id,iso_language_code,source,profile_image_url,geo_type,geo_coordinates_0,geo_coordinates_1,created_at,time
RT @derBorys: Weil es wieder nervt. Gesucht: FB App für Android #facebook #suche #android,,nervt,10362731733,46837813,de,<a href="http://apiwiki.twitter.com/" rel="nofollow">API</a>,,,0,0,0,0
RT @androidsis: #android Nuevo Post.- Htc Incredible reaparece con unas características impresionantes http://bit.ly/aM77xO,,miMovilandia,10362736733,21745782,en,<a href="http://apiwiki.twitter.com/" rel="nofollow">API</a>,,,0,0,0,0
just got an OTA update for my #G1. #android,,aliciaadorada,10362752872,25245854,en,<a href="http://www.kinox-fr.com/post/2009/12/21/Un-widget-pour-Twitter-Twitget" rel="nofollow">Twitget</a>,,,0,0,0,0
An dieser Stelle mal ein Lob für das brandneue #Opera Mini für #Android. Es "rennt" wie eine eins. :),,evandamaralda,10362762980,70162788,en,<a href="http://www.hootsuite.com" rel="nofollow">HootSuite</a>,,,0,0,0,0
#Android #iPhone on 1 Fav Source+5 others like CNET News-Why Google Android is winning http://bit.ly/a0SQMx,,arohmanbuzzbox,10362768913,69054746,en,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,,,0,0,0,0
HTC Tattoo Getting 2.1 http://bit.ly/d2tPYh #Android,,bodyart101,10362782516,96653595,en,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,,,0,0,0,0
#Android #iPhone on 1 Fav Source+5 others like CNET News-Why Google Android is winning http://bit.ly/aW9QWn,,robertBuzzBox,10362804654,71654574,en,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,,,0,0,0,0
Check out what the Palm Pre can do: http://bit.ly/dmaFxH and the iphone cannot #blackberry #android!!,,americanstah,10362810462,119306028,en,web,,,0,0,0,0
SmaKit S7 Android Tablet Coming from Huawei http://home.leakdroid.com/2010/03/smakit-s7-android-tablet-coming-from-huawei/ #Android,,droidnews,10362810792,68018736,en,web,,,0,0,0,0
Have had to un-install @twidroid pro yet again ate a full battery on G1 #android in under 3 hours (non use!!) back to @twidroid free now,,stueymac71,10362813737,21640992,en,<a href="http://www.seesmic.com/" rel="nofollow">Seesmic</a>,,,0,0,0,0
@BdotSmittyBaby lol just messin wit ya how you been though? and at&T got that new motorola backflip coming next week i think #Android,26400609,keem773,10362896715,19408573,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
Just installed Automatic Task Killer http://appaware.org/9b on my #Android #HTC Hero - via #AppAware,,tomvdbergh,10362908136,36636367,en,<a href="http://appaware.org" rel="nofollow">AppAware</a>,,,0,0,0,0
