text,to_user_id,from_user,id,from_user_id,iso_language_code,source,profile_image_url,geo_type,geo_coordinates_0,geo_coordinates_1,created_at,time
@TwoFace_theOcho lmao #basic!,36705773,RealMartinWeiss,10372154241,24828232,en,<a href="http://socialscope.net" rel="nofollow">SocialScope</a>,,,0,0,0,0
Haha. Bff @jusblyaz just dm me.. he could have text me...wit his #basic ass..he does have my phone #   #twitteraddict lol imma text u now,,fashionistareha,10372318925,26329513,en,web,,,0,0,0,0
@lilduval gotta b the chic frm blow...cuz ginger KEPT tellin sam she was just a #BASIC bitch!!!!! He aint Wanna listen,16638685,Phreestyle,10373695116,27681881,en,<a href="http://twitterrific.com" rel="nofollow">Twitterrific</a>,,,0,0,0,0
@RaymondGW if a girl who gets money has her own business travels and parties HARD is #basic then #signmeup @crystalxx86,33547547,j3laine,10374265425,50070664,en,<a href="http://ubertwitter.com" rel="nofollow">UberTwitter</a>,,,0,0,0,0
@TheTruEssence yeah thats true. But if you have the entire package #basic joints treat you like your shit dont stink...,59327068,sin1885,10375329409,24538717,en,web,,,0,0,0,0
@lilduval jus left walmart. Y cant i jus buy the #basic ish. Am i too #basic or dont have enuff ish #basically?,16638685,specks0615,10375423889,40175151,en,<a href="http://ubertwitter.com" rel="nofollow">UberTwitter</a>,,,0,0,0,0
i think ridin on the #cta i see a bunch of #basic niccas hw u gon shoot anybody n drive off? nicca u on da #cta!!!!,,Ms_Gorgeous_ME,10375445899,35750171,en,<a href="http://m.twitter.com/" rel="nofollow">mobile web</a>,,,0,0,0,0
@itszena so you can have people to talk to. Just think no one followed you but you followed eveeryone else. You would be bored. #basic,32769457,Grownx2,10375570355,21024033,en,<a href="http://ubertwitter.com" rel="nofollow">UberTwitter</a>,,,0,0,0,0
@lilduval your not funny get a REAL job #basic bitch,16638685,SteadPorter,10375625921,26887533,en,<a href="http://ubertwitter.com" rel="nofollow">UberTwitter</a>,,,0,0,0,0
RT @PassionateBlogr Blog only if you like to do. http://bit.ly/dqQRT2 #Basic,,techbloggerxxx,10377056550,106748110,en,<a href="http://tweetmeme.com" rel="nofollow">TweetMeme</a>,,,0,0,0,0
@soulverity if ur jones were funny I would jone back but their #basic #shrugs lls,104833221,CanILive44,10377130759,119907900,en,<a href="http://ubertwitter.com" rel="nofollow">UberTwitter</a>,,,0,0,0,0
I gotta stop giving #basic people my number... Smdh,,xXStar_BoundXx,10377176520,86780319,en,<a href="http://ubertwitter.com" rel="nofollow">UberTwitter</a>,,,0,0,0,0
Why do you stand in the middle of the hallway and just walk back and forth? Oh cause you want pwoplw to see your #basic outfit,,RichieX_,10377193335,25191511,en,<a href="http://ubertwitter.com" rel="nofollow">UberTwitter</a>,,,0,0,0,0
RT @young_vish  #random these red delicious apples are the opposite of delicious these #basic apples #FF,,FancyGlitterati,10377876184,64427094,en,web,,,0,0,0,0
BUTTTTTTTT @S8thuny8 or @Rachet_Rita Arent Comp Sooooooo #Ontothenext #basic,,JohnnyRobbie,10378429691,38852826,en,web,,,0,0,0,0
#Basic chick n dis class owe 4 assignments & still nt ready smh,,Kelnificent,10378692489,31119968,en,<a href="http://twidroid.com" rel="nofollow">twidroid</a>,,,0,0,0,0
Yall hella #basic 2day. get @ yall later,,TJ_DaReal4,10379014326,81402133,en,<a href="http://www.trinketsoftware.com/Twikini" rel="nofollow">Twikini</a>,,,0,0,0,0
RT @kixnwhips86: #deathto my neighbor for playing "bedrock" all the fucking time. The #basic bitch anthem &lt; lol dummy,,POPtartsNPornos,10379281710,43781905,en,<a href="http://ubertwitter.com" rel="nofollow">UberTwitter</a>,,,0,0,0,0
Lmao RT @kixnwhips86: #deathto my neighbor for playing "bedrock" all the fucking time. The #basic bitch anthem,,Buddy_Isreal,10379449733,97953203,en,<a href="http://echofon.com/" rel="nofollow">Echofon</a>,,,0,0,0,0
@Milfmercedes104 ur sis dont kno the difference btween a fruit and a vegetable #basic she said this apple is da 1st vegetable in a while!,46519794,SwaggSoCrazii,10379533635,32783789,en,<a href="http://m.twitter.com/" rel="nofollow">mobile web</a>,,,0,0,0,0
#lilduval said you #BASIC if you dont Show Love and D/L my new Mixtape at http://jfly.bandcamp.com/ Thanx !,,Jfly16,10379726951,25344007,en,web,,,0,0,0,0
#basic.! Lolz pink &whites again.?! =p RT @MANDiiBAyBEE: Fuck I think Ima b late to my nail appoint -_- this fukin rain !!,,LiSSA_F_BABii,10380361350,53725784,en,<a href="http://ubertwitter.com" rel="nofollow">UberTwitter</a>,,,0,0,0,0
@LiSSA_F_BABii @MANDiiBAyBEE #basic &lt;--- haha change it up boo! Step up ya nail game sonnnn! ;D,53725784,MizKAE87,10380471224,26403105,en,<a href="http://www.nibirutech.com" rel="nofollow">TwitBird iPhone</a>,,,0,0,0,0
These ladies in the salon was just talking bout all they chiren lol now they talking bout getting drunk and going out...#basic,,BiteSize06,10380640002,34867104,en,<a href="http://echofon.com/" rel="nofollow">Echofon</a>,,,0,0,0,0
Lolz right #wejustsayn.! Haha RT @MizKAE87: @LiSSA_F_BABii @MANDiiBAyBEE #basic &lt;--- haha change it up boo! Step up ya nail game sonnnn! ;D,,LiSSA_F_BABii,10380681712,53725784,en,<a href="http://ubertwitter.com" rel="nofollow">UberTwitter</a>,,,0,0,0,0
#relationshiptips Stop being #basic,,so_explicit,10381301852,29937618,en,<a href="http://twidroid.com" rel="nofollow">twidroid</a>,,,0,0,0,0
Thanks for the #basic,,missbeatriiz,10381834207,75064935,en,<a href="http://ubertwitter.com" rel="nofollow">UberTwitter</a>,,,0,0,0,0
