text,to_user_id,from_user,id,from_user_id,iso_language_code,source,profile_image_url,geo_type,geo_coordinates_0,geo_coordinates_1,created_at,time
Getting out the tech vote...a short roundup of social media and election projects: http://bit.ly/cZagEK,,webbmedia,29474449518,9500242,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,http://a2.twimg.com/profile_images/1135117222/Screen_shot_2010-10-01_at_10.02.10_AM_normal.png,,0,0,Tue Nov 02 14:25:32 +0000 2010,1288707932
@ibnlive #election #bihar #ibnquiz #obama Sack UK bot traitor top bucratsKamal NathPM influenced by Chatwal www.letter4all.blogspot.com,6509832,SujatKamal9,29474450639,82294198,en,<a href="http://mobile.twitter.com" rel="nofollow">Mobile Web</a>,http://a2.twimg.com/profile_images/979640862/sujat_kamal_photo_normal.JPG,,0,0,Tue Nov 02 14:25:33 +0000 2010,1288707933
Getting out the tech vote...a short roundup of social media and election projects: http://bit.ly/cZagEK,,Knowledgewebb,29474453857,22274007,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,http://a0.twimg.com/profile_images/116684164/Picture_10_normal.png,,0,0,Tue Nov 02 14:25:35 +0000 2010,1288707935
RT @EversavePHL: Good morning! If the elections are stressing you out relax with 52% off a 60-min massage! http://ht.ly/3355U,,PhillyMag_Deals,29474454036,182945266,en,web,http://a3.twimg.com/profile_images/1113964263/PhillyP_normal.jpg,,0,0,Tue Nov 02 14:25:35 +0000 2010,1288707935
RT @BarackObama: This election is about our future. It’s about what we want this country to be—andyou have a say. Vote today. http://OF ...,,NWBordeaux,29474455778,201896426,en,<a href="http://twitter.com/" rel="nofollow">Twitter for iPhone</a>,http://a1.twimg.com/profile_images/1155517513/Untitled_normal.png,,0,0,Tue Nov 02 14:25:36 +0000 2010,1288707936
It's election day. I'm entitled to McDonalds dammit. Especially breakfast!,,bilerico,29474455420,13034922,en,<a href="http://twitter.com/" rel="nofollow">Twitter for iPhone</a>,http://a0.twimg.com/profile_images/1148332464/5e562b91-bc25-4fb6-8852-0abe6cc8bafc_normal.png,,0,0,Tue Nov 02 14:25:36 +0000 2010,1288707936
It's #electionday in America. Make sure your voice is heard and #vote! Don't know where to vote Google can help: http://bit.ly/c6S5fO,,EngageEmployees,29474457076,103894225,en,web,http://a1.twimg.com/profile_images/809410345/HRS_Logo_Blue-square_normal.JPG,,0,0,Tue Nov 02 14:25:37 +0000 2010,1288707937
RT @MMFlint: Just posted my blog: What each of us can do RIGHT NOW to turn this election day around. Pls read & RT: http://j.mp/9Ch9ms,,ladywildcat13,29474456989,37357638,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,http://a1.twimg.com/profile_images/1122159229/DSC00273_normal.JPG,,0,0,Tue Nov 02 14:25:37 +0000 2010,1288707937
@kakarende yopp kalo itu tau Hor kan dipilih di tengah ² masa jab presiden makanya dinamain midterm election,29399045,nooxs,29474460098,62424564,en,<a href="http://www.ubertwitter.com/bb/download.php" rel="nofollow">ÜberTwitter</a>,http://a2.twimg.com/profile_images/1156126842/tess_normal.jpg,,0,0,Tue Nov 02 14:25:39 +0000 2010,1288707939
Sakineh's stoning on Wed. from Straits Times - http://bit.ly/btZGxl #HumanRights #IranElection #Iran,,FartashPhoto,29474460657,63697544,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,http://a0.twimg.com/profile_images/1145827932/Untitled-2-fartashphoto_normal.jpg,,0,0,Tue Nov 02 14:25:39 +0000 2010,1288707939
I can't wait for the Republicans to win so I can finally get out of this internment camp Obama put me in. #electiondaysarcasm,,niteowl530,29474461190,174090679,en,<a href="http://mobile.twitter.com" rel="nofollow">Mobile Web</a>,http://a2.twimg.com/profile_images/1156060738/me87sm_normal.jpg,,0,0,Tue Nov 02 14:25:39 +0000 2010,1288707939
RT @BarackObama: This election is about our future. It’s about what we want this country to be—andyou have a say. Vote today. http://OF ...,,KathrynReneeRed,29474460882,26121190,en,<a href="http://www.echofon.com/" rel="nofollow">Echofon</a>,http://a1.twimg.com/profile_images/668532305/kathryn_normal.jpg,,0,0,Tue Nov 02 14:25:39 +0000 2010,1288707939
#gaelections is now trending in #Atlanta http://trendsmap.com/us/atlanta,,TrendsAtlanta,29474462635,132389207,en,<a href="http://trendsmap.com/" rel="nofollow">Trendsmap Alerting</a>,http://a0.twimg.com/profile_images/1083374800/TrendsMap-Logo-_Dark___1__normal.png,,0,0,Tue Nov 02 14:25:40 +0000 2010,1288707940
RT @shary20: v @Khoshkeledoc URGENT! March 4 SakinehParisTODAY 2pm! Frm IRI Emb Paris 2 Euro Parl Brussels! Pls RT #iranelection http ...,,ghazamfar,29474462949,47625088,en,web,http://a0.twimg.com/profile_images/1080899068/76ee6178-e296-4757-8be5-930d6aef1fb9_normal.png,,0,0,Tue Nov 02 14:25:41 +0000 2010,1288707941
In DC on election day...yes I'm more patriotic than you!  Going to buy a bald eagle after work and name him "aMERICA",,tschleg,29474464222,17027308,en,web,http://a0.twimg.com/profile_images/129142224/clam_bake_normal.JPG,,0,0,Tue Nov 02 14:25:41 +0000 2010,1288707941
RT @TutiDaBoss: Elections get me excited lol my BBM is looking like the supervisor of elections hotline lol love it,,emoneyhuney,29474463824,59470011,en,<a href="http://www.ubertwitter.com/bb/download.php" rel="nofollow">ÜberTwitter</a>,http://a1.twimg.com/profile_images/1150580333/197492742_normal.jpg,,0,0,Tue Nov 02 14:25:41 +0000 2010,1288707941
