text,to_user_id,from_user,id,from_user_id,iso_language_code,source,profile_image_url,geo_type,geo_coordinates_0,geo_coordinates_1,created_at,time
RT @beautynubian: Love this! RT @aisha1908: Bear Witness from #Haiti & #Chile -- Ushahidi Reports Misdeeds http://bit.ly/c8tqJf,,angiewrites,10425761107,18071290,en,web,,,0,0,0,0
TY! =&gt; RT @AaronBBrown Plz share this video with your friends & help support the people of #Haiti =&gt; http://bit.ly/dwp4nQ,,DinoJag,10425989520,62301773,en,web,,,0,0,0,0
#HAITI LIVE RIGHT NOW. FROM http://bit.ly/9TtZGE (Broadcasting live at http://ustre.am/3al7),,pierrecote,10426004886,15193810,en,<a href="http://ustream.tv" rel="nofollow">Ustream</a>,,,0,0,0,0
government has yet to relocate a single person #Haiti  ... http://chilp.it/fb3b2c,,kam75,10426052556,31346843,en,<a href="http://twitter.cloudberrylab.com/" rel="nofollow">TweetIE</a>,,,0,0,0,0
World government - the next steps: a sobering analysis http://goo.gl/fb/ryc6 #haiti #haarp #globalwarmingcon #nwo,,FaustiesBlog,10426091849,41163425,en,<a href="http://www.google.com/support/youtube/bin/answer.py?hl=en&answer=164577" rel="nofollow">Google</a>,,,0,0,0,0
How It Pays to "Work" for Wyclef Jean - $105k That Was Supposed to Be For #Haiti Charity Goes to (cont) http://tl.gd/g815j,,ccomemi,10426094169,109973998,en,<a href="http://www.atebits.com/" rel="nofollow">Tweetie</a>,,,0,0,0,0
Vibe: Did Wyclef Use His #Haiti Charity To Pay Mistress? http://bit.ly/aRoU1C #Wyclef #Yele @Wyclef #hiphop (via @dominique_esser),,tancatdi,10426107199,115681967,en,<a href="http://www.atebits.com/" rel="nofollow">Tweetie</a>,,,0,0,0,0
RT @pierrecote: #HAITI LIVE RIGHT NOW. FROM http://bit.ly/9TtZGE (Broadcasting live at http://ustre.am/3al7),,philhereandnow,10426124275,106203128,en,web,,,0,0,0,0
Diaspora slobbering all over themselves about Relief Funds for #Haiti and fuming that none of them appointed to Clinton / Bush committee...,,BareKnuckleDawg,10426196354,57617226,en,<a href="http://83degrees.com/to/powertwitter" rel="nofollow">Power Twitter</a>,,,0,0,0,0
#DRI Launches Online Mapping Tool for #Haiti #Earthquake #Medical Aid http://ow.ly/1iZbS #HelpHaiti,,cripiemonte,10426223479,90195745,en,<a href="http://www.hootsuite.com" rel="nofollow">HootSuite</a>,,,0,0,0,0
late (@redcross #Haiti) #FollowFriday Rock Stars- @loriguffey @lynnschultz @Mandatek @aliya_leigh @GaryRichardson_ @punkieschic,,rleseberg,10426234318,14821347,en,<a href="http://apiwiki.twitter.com/" rel="nofollow">API</a>,,,0,0,0,0
RT @FaustiesBlog: World government - the next steps: a sobering analysis http://goo.gl/fb/ryc6 #haiti #haarp #globalwarmingcon #nwo,,BareKnuckleDawg,10426269201,57617226,en,web,,,0,0,0,0
#Haiti Health Facilities Master List Version 6 w/ MSPP-Measure Evaluation http://bit.ly/dwxJLB via @pahoeoc,,CrisisMappers,10426365025,106840674,en,<a href="http://m.twitter.com/" rel="nofollow">mobile web</a>,,,0,0,0,0
