text,to_user_id,from_user,id,from_user_id,iso_language_code,source,profile_image_url,geo_type,geo_coordinates_0,geo_coordinates_1,created_at,time
RT @monaeltahawy: I salute every #Egyptian protesting 2day. No matter outcome u are #Egypt's hope. Hoplessness pessimism r #Mubarak's  ...,,PsychoticLynx,29825448586256385,200185878,en,<a href="http://twitter.com/" rel="nofollow">Twitter for iPhone</a>,http://a1.twimg.com/profile_images/1194180920/0f93e2b4-38d0-4083-ae14-ea810a45d0e6_normal.png,,0,0,Tue Jan 25 08:58:35 +0000 2011,1295945915
RT @yabuyaishbak: #Egyptians have already won! The message is loud & clear: #Mubarak is  ILLEGITIMATE by popular vote even if guns keep  ...,,ummhajarforpal,29826271802302464,224983413,en,web,http://a3.twimg.com/profile_images/1210230648/wddxxde_normal.jpg,,0,0,Tue Jan 25 09:01:52 +0000 2011,1295946112
RT @monaeltahawy: I salute every #Egyptian protesting 2day. No matter outcome u are #Egypt's hope. Hoplessness pessimism r #Mubarak's  ...,,ashraf9999,29826641647636480,47616524,en,web,http://a2.twimg.com/profile_images/1123233535/ashraf2_normal.jpg,,0,0,Tue Jan 25 09:03:20 +0000 2011,1295946200
The coward #Mubarak trying to silence #Egyptians with guns aimed at their souls but that's only proof of his illegitimacy! #Jan25,,yabuyaishbak,29826856706383872,95265024,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,http://a0.twimg.com/profile_images/1184838408/green_arrow_normal.jpg,,0,0,Tue Jan 25 09:04:11 +0000 2011,1295946251
#Mubarak's illegitimacy & guns keeps Cairo streets virtually empty fearing the people's voice! #Jan25,,yabuyaishbak,29829550795915264,95265024,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,http://a0.twimg.com/profile_images/1184838408/green_arrow_normal.jpg,,0,0,Tue Jan 25 09:14:53 +0000 2011,1295946893
RT @monaeltahawy: I am an #Egyptian #Muslim who isn't a fan of the Muslim Brotherhood but I will never defend #Mubarak's dictatorship. I ...,,sophiemomoro,29829567157895168,242664077,en,web,http://a2.twimg.com/sticky/default_profile_images/default_profile_5_normal.png,,0,0,Tue Jan 25 09:14:57 +0000 2011,1295946897
#Mubarak has filled #Egypt streets with his police to beat and arrest #Jan25 protesters. Police protect the dictator not the people.,,monaeltahawy,29829898767958016,29979814,en,web,http://a1.twimg.com/profile_images/490016992/MonaBW_normal.jpg,,0,0,Tue Jan 25 09:16:16 +0000 2011,1295946976
RT @monaeltahawy: #Mubarak has filled #Egypt streets with his police to beat and arrest #Jan25 protesters. (cont) http://tl.gd/8cdu41,,GabyVerdier,29830017240272896,29662823,en,<a href="http://beta.twitlonger.com" rel="nofollow">TwitLonger Beta</a>,http://a3.twimg.com/profile_images/1225192109/001cbe9f-1cee-4854-8d6d-f37385187f5a_normal.png,,0,0,Tue Jan 25 09:16:44 +0000 2011,1295947004
RT @monaeltahawy: #Mubarak has filled #Egypt streets with his police to beat and arrest #Jan25 protesters. Police protect the dictator n ...,,gjmorley,29830568376012800,211410916,ja,<a href="http://seesmic.com/app" rel="nofollow">Seesmic Web</a>,http://a1.twimg.com/profile_images/1222555170/gjmorley_normal.png,,0,0,Tue Jan 25 09:18:56 +0000 2011,1295947136
RT @monaeltahawy: #Mubarak has filled #Egypt streets with his police to beat and arrest #Jan25 protesters. Police protect the dictator n ...,,abdullahali7,29830654564761602,50656827,en,<a href="http://twitter.com/" rel="nofollow">Twitter for iPhone</a>,http://a2.twimg.com/profile_images/1150717100/DSC02725_normal.JPG,,0,0,Tue Jan 25 09:19:16 +0000 2011,1295947156
