text,to_user_id,from_user,id,from_user_id,iso_language_code,source,profile_image_url,geo_type,geo_coordinates_0,geo_coordinates_1,created_at,time
The #TeaParty movement is not a revolution. It is the resurgence of the Confederacy .. #gop #republican #conservative #democrat #dems #obama,,iamanarmyofone,10482529455,24645779,en,web,,,0,0,0,0
SLAUGHTER-HOUSE SUICIDE - Democrats at the Point of No Return http://bit.ly/VtWlc #tcot #gop #obamacareD tjholthaus,,EWRoss,10482524904,19723180,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
RT @EWRoss: SLAUGHTER-HOUSE SUICIDE - Democrats at the Point of No Return http://bit.ly/VtWlc #tcot #gop #obamacare,,ricenbeanies,10482508891,22918287,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
So all those anit-government folks in nyc are out cutting up the fallen tree themselves right? #tcot #tlot #obama,,DanxMcGowan,10482432790,29834225,en,web,,,0,0,0,0
RT @miketimmins: Reaganizing the HYPE and CHANGE mantra...   http://tinyurl.com/ybt48ex  #conservative #tcot #politics #Obama #killthebi ...,,LindaLntfrDnls,10482340247,73656851,en,web,,,0,0,0,0
Daylight Savings is 3 weeks early since 2007. Why this is a bad idea: http://tinyurl.com/dmbfps #changeitback #Obama,,peterlux,10482321898,15203955,en,web,,,0,0,0,0
Has everyone on & associated with the #SCOTUS lost their *$%&* minds? CJ John Roberts down in Alabama mouthing off re #Obama at #SOTU #gop,,KareemLumumba,10482315938,47235377,en,web,,,0,0,0,0
FOXNews.com - White House Challenges Republicans to Use Health Care for 2010 Election  http://bit.ly/9iSFhD #tcot #Obamacare,,Beaufort_TParty,10482266242,47775464,en,<a href="http://www.seesmic.com/" rel="nofollow">Seesmic</a>,,,0,0,0,0
@sarahleah770 yes absolutely u r right. I admire ur smarts  #israel #jews #zion #bible #gaza #palestine #USA #tcot #Obama #news,17682967,DolpheenaIDF,10482139510,76552192,en,web,,,0,0,0,0
RT @Infidelmonster: Czars to Serfs: Pay Up and Shut Up #tcot #ocra #sgp #p2 #ucot #hhrs #obamafail,,HansRodriguez,10482094164,21837233,en,web,,,0,0,0,0
SLAUGHTER-HOUSE SUICIDE - Democrats at the Point of No Return http://bit.ly/VtWlc #tcot #gop #obamacare,,EWRoss,10482447653,19723180,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
@SarahPalinUSA If #Obamacare Passes The House Using The Slaughter Solution Expel Those Vote Used It!  http://bit.ly/b4K0xi,65493023,Beaufort_TParty,10482000390,47775464,en,<a href="http://www.seesmic.com/" rel="nofollow">Seesmic</a>,,,0,0,0,0
Actions speak louder than words. #coffeparty #obama #liberallies,,JohnJ2427,10481992710,62097134,en,<a href="http://www.tweetdeck.com/" rel="nofollow">TweetDeck</a>,,,0,0,0,0
RT @Infidelmonster: Czars to Serfs: Pay Up and Shut Up #tcot #ocra #sgp #p2 #ucot #hhrs #obamafail,,Herfarm,10481987833,22406588,en,web,,,0,0,0,0
#Obama: Keep Commercial #Whaling Illegal: http://is.gd/9NafN #greenpeace #SaveTerra 9HASH(0x50ef830): #Obama: Keep... http://bit.ly/cPLKV5,,thar_she_blows,10481971667,92993334,en,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,,,0,0,0,0
Czars to Serfs: Pay Up and Shut Up #tcot #ocra #sgp #p2 #ucot #hhrs #obamafail,,Infidelmonster,10481961089,48027055,en,web,,,0,0,0,0
@SatskixSanu No. Youre supposed to love your own people. #iThink #iloveSealand #HowBoutThatObama?! #Obama!!!,75469394,southparkrox,10481743333,37570916,en,<a href="/devices" rel="nofollow">txt</a>,,,0,0,0,0
Oh and owing to the #Obama adm position on the Internet Bill of Rights the telecos & Comcasts are reeling http://tinyurl.com/ykj2ouj #sxsw,,timecoding,10481703466,107618464,en,<a href="http://www.tweetdeck.com/" rel="nofollow">TweetDeck</a>,,,0,0,0,0
Dude on CNN just blamed #Obama for the US trade deficit.  How can you know what a trade deficit is and not know 1975 is before 2010?,,gameandpc,10481667376,32098451,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
RT @EWRoss: SLAUGHTER-HOUSE SUICIDE - Democrats at the Point of No Return http://bit.ly/VtWlc #tcot #gop #obamacare,,dominiofeminino,10482491177,49255664,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
RT @TaoJonesTicker: A Tea Party Encounter: Part III Secret Muslim & Threats http://youtu.be/dx8bpjcKtD0 #912 #tcot #p2 #hcr #obama #birther,,_ccm,10481234782,43576453,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
RT @gameandpc: Dude on CNN just blamed #Obama for the US trade deficit.  How can you know what a trade deficit is and not know 1975 is b ...,,SteelersGurlie,10481721884,20829672,en,web,,,0,0,0,0
New Palin Book  to be released July 20th!  http://bit.ly/aFaLcv #SarahPalinUSA #conservative #liberal #GOP #democrats #Obama #rnc,,thetwowriters,10483882404,121317818,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
RT @SteveCBoston: SEIU warns House Dem: Vote yes or we’ll primary you http://bit.ly/c3eVDT #tcot #obama #hcr #FAIL,,ericburgoyne,10483852409,40908760,en,<a href="http://www.tweetdeck.com/" rel="nofollow">TweetDeck</a>,,,0,0,0,0
SEIU warns House Dem: Vote yes or we’ll primary you http://bit.ly/c3eVDT #tcot #obama #hcr #FAIL,,SteveCBoston,10483738191,53717114,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
China had long term plan to get where they are moved forward US policies under #gop stagnant R Regressive  #tcot #tlot #IMPORTS #OBAMA #p2,,Wary12,10483535737,22250215,en,web,,,0,0,0,0
RT @larrymwalkerjr: Video of Sen Harry Reid: Taxation is Voluntary? [http://digg.com/d31LaLU?t] What about Obamacare? #reid #obamacare...,,CFHeather,10483525355,16469463,en,<a href="http://www.hootsuite.com" rel="nofollow">HootSuite</a>,,,0,0,0,0
Video of Sen Harry Reid: Taxation is Voluntary? [http://digg.com/d31LaLU?t] What about Obamacare? #reid #obamacare #tcot #digg,,larrymwalkerjr,10483509383,15847001,en,<a href="http://digg.com" rel="nofollow">Digg</a>,,,0,0,0,0
In #HCR bill #Obama can use money gained from 4 yrs of taxes & no benefits to use for SS & whatnot. #tcot #teaparty #sgp #gop #handsoff #rs,,TriciaNC1,10483452058,83949216,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
RT @SteveCBoston: SEIU warns House Dem: Vote yes or we’ll primary you http://bit.ly/c3eVDT #tcot #obama #hcr (cont) http://tl.gd/gk58d,,freejenks,10483926153,118148191,en,<a href="http://ubertwitter.com" rel="nofollow">UberTwitter</a>,,,0,0,0,0
SLAUGHTER-HOUSE SUICIDE - Democrats at the Point of No Return http://bit.ly/VtWlc #tcot #gop #obamacare #killthebill,,dominiofeminino,10483947032,49255664,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
via @EWRoss: SLAUGHTER-HOUSE SUICIDE - Democrats at the Point of No Return http://twt.tl/eaZteSz #tcot #gop #obamacare,,BowlMeOverVa,10483906292,17777458,en,web,,,0,0,0,0
As I predicted: #Egypt and #Jordan r showing their true colors treaties r worthless http://is.gd/aD7bA #Israel Israel #gaza #Biden #obama,,DolpheenaIDF,10483430241,76552192,en,web,,,0,0,0,0
The Slaughter Solution: The Metamorphosis of The American Republic Into Government By Fiat http://bit.ly/95Imw3 #obamacare PLS READ & RT,,LizBlaine,10483428070,49026824,en,web,,,0,0,0,0
#Obama is soooooo corny.. I heard the name "Joe Biden" n I was like "whoo dat??",,SOicyLT,10483415457,85203974,en,<a href="http://ubertwitter.com" rel="nofollow">UberTwitter</a>,,,0,0,0,0
RT @SarahPalinUSA: With a Stiff Spine America Must Stand Against #Obamacare http://fb.me/KueCzUkIt #healthcare #hcr #tcot #sgp,,MarcyHernick,10483363414,38886935,en,<a href="http://ubertwitter.com" rel="nofollow">UberTwitter</a>,,,0,0,0,0
RT  @EWRoss: SLAUGHTER-HOUSE SUICIDE - Democrats at the Point of No Return http://is.gd/aD6k2 #tcot #gop #obamacare,,tiefmesser,10483320381,35817973,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
BACK 2 BITE US IN THE ASS: China Takes Aim at U.S. on Economy  http://ow.ly/1kmJf  #DEBT #tcot #tlot #IMPORTS #SNUBBED #OBAMA #DALAILAMA #p2,,Synders777,10483312606,26472440,en,<a href="http://www.hootsuite.com" rel="nofollow">HootSuite</a>,,,0,0,0,0
Good point: Taxation is Voluntary. Obamacare will be Mandatory? No logic. "No" vote. #tcot #tlot #aip #obamacare,,larrymwalkerjr,10483268142,15847001,en,<a href="http://www.seesmic.com/" rel="nofollow">Seesmic</a>,,,0,0,0,0
MinistryofChange: Die großen Herausforderungen des 21. Jhdts für #Obama: Gesundheit #Gesundheit Öko digitalesLernen: http://bit.ly/bnDRwu,,eikewenzel,10483170377,63436506,de,web,,,0,0,0,0
Obama News (AP): AP - Family identifies slain US consular employee in Mexico; Obama says outraged at ... http://bit.ly/cc6cvC #obama #video,,obamavideonews,10483112600,36918093,en,<a href="http://twitterfeed.com" rel="nofollow">twitterfeed</a>,,,0,0,0,0
gerade bei #obama online #heizdecken gekauft... dafür darf ich jetzt einreisen. so kann man die #wirtschaft  auch ankurbeln!,,m_kirchner,10482782813,39729497,en,web,,,0,0,0,0
gerade bei der #obama online #heizdecken gekauft... dafür darf ich jetzt einreisen. so kann man die #wirtschaft auch ankurbeln!,,m_kirchner,10482751843,39729497,en,web,,,0,0,0,0
SLAUGHTER-HOUSE SUICIDE - Democrats at the Point of No Return http://bit.ly/VtWlc #tcot #gop #obamacare #killthebill,,dominiofeminino,10482631722,49255664,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
@TCOAmerica This is my answer to the Slaughter Solution http://beaufortteaparty.blogspot.com/ #tcot #Obamacare #hcr,84664241,Beaufort_TParty,10483013794,47775464,en,<a href="http://www.seesmic.com/" rel="nofollow">Seesmic</a>,,,0,0,0,0
