text,to_user_id,from_user,id,from_user_id,iso_language_code,source,profile_image_url,geo_type,geo_coordinates_0,geo_coordinates_1,created_at,time
SLAUGHTER-HOUSE SUICIDE - Democrats at the Point of No Return http://bit.ly/VtWlc #tcot #gop #obamacareD tjholthaus,,EWRoss,10482524904,19723180,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
RT @EWRoss: SLAUGHTER-HOUSE SUICIDE - Democrats at the Point of No Return http://bit.ly/VtWlc #tcot #gop #obamacare,,ricenbeanies,10482508891,22918287,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
FOXNews.com - White House Challenges Republicans to Use Health Care for 2010 Election  http://bit.ly/9iSFhD #tcot #Obamacare,,Beaufort_TParty,10482266242,47775464,en,<a href="http://www.seesmic.com/" rel="nofollow">Seesmic</a>,,,0,0,0,0
SLAUGHTER-HOUSE SUICIDE - Democrats at the Point of No Return http://bit.ly/VtWlc #tcot #gop #obamacare,,EWRoss,10482447653,19723180,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
@SarahPalinUSA If #Obamacare Passes The House Using The Slaughter Solution Expel Those Vote Used It!  http://bit.ly/b4K0xi,65493023,Beaufort_TParty,10482000390,47775464,en,<a href="http://www.seesmic.com/" rel="nofollow">Seesmic</a>,,,0,0,0,0
RT @EWRoss: SLAUGHTER-HOUSE SUICIDE - Democrats at the Point of No Return http://bit.ly/VtWlc #tcot #gop #obamacare,,dominiofeminino,10482491177,49255664,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
RT @larrymwalkerjr: Video of Sen Harry Reid: Taxation is Voluntary? [http://digg.com/d31LaLU?t] What about Obamacare? #reid #obamacare...,,CFHeather,10483525355,16469463,en,<a href="http://www.hootsuite.com" rel="nofollow">HootSuite</a>,,,0,0,0,0
Video of Sen Harry Reid: Taxation is Voluntary? [http://digg.com/d31LaLU?t] What about Obamacare? #reid #obamacare #tcot #digg,,larrymwalkerjr,10483509383,15847001,en,<a href="http://digg.com" rel="nofollow">Digg</a>,,,0,0,0,0
SLAUGHTER-HOUSE SUICIDE - Democrats at the Point of No Return http://bit.ly/VtWlc #tcot #gop #obamacare #killthebill,,dominiofeminino,10483947032,49255664,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
via @EWRoss: SLAUGHTER-HOUSE SUICIDE - Democrats at the Point of No Return http://twt.tl/eaZteSz #tcot #gop #obamacare,,BowlMeOverVa,10483906292,17777458,en,web,,,0,0,0,0
The Slaughter Solution: The Metamorphosis of The American Republic Into Government By Fiat http://bit.ly/95Imw3 #obamacare PLS READ & RT,,LizBlaine,10483428070,49026824,en,web,,,0,0,0,0
RT @SarahPalinUSA: With a Stiff Spine America Must Stand Against #Obamacare http://fb.me/KueCzUkIt #healthcare #hcr #tcot #sgp,,MarcyHernick,10483363414,38886935,en,<a href="http://ubertwitter.com" rel="nofollow">UberTwitter</a>,,,0,0,0,0
RT  @EWRoss: SLAUGHTER-HOUSE SUICIDE - Democrats at the Point of No Return http://is.gd/aD6k2 #tcot #gop #obamacare,,tiefmesser,10483320381,35817973,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
Good point: Taxation is Voluntary. Obamacare will be Mandatory? No logic. "No" vote. #tcot #tlot #aip #obamacare,,larrymwalkerjr,10483268142,15847001,en,<a href="http://www.seesmic.com/" rel="nofollow">Seesmic</a>,,,0,0,0,0
SLAUGHTER-HOUSE SUICIDE - Democrats at the Point of No Return http://bit.ly/VtWlc #tcot #gop #obamacare #killthebill,,dominiofeminino,10482631722,49255664,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
@TCOAmerica This is my answer to the Slaughter Solution http://beaufortteaparty.blogspot.com/ #tcot #Obamacare #hcr,84664241,Beaufort_TParty,10483013794,47775464,en,<a href="http://www.seesmic.com/" rel="nofollow">Seesmic</a>,,,0,0,0,0
RT @Youcanvote: RT @PaulineRevere: PLEASE RT and CALL: Tell your congressman toVOTE NO ON #OBAMACARE TOLL-FREE PHONE 1-866-220-0044 via ...,,mesamps,10485496316,74435851,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
WSJ: #ObamaCare cost-control plan is this: 1) subsidize coverage so much that costs explode. 2) Hike taxes as much as possible. (Cont.) #pdk,,PeterKinder,10485322542,7074742,en,<a href="http://ubertwitter.com" rel="nofollow">UberTwitter</a>,,,0,0,0,0
RT @PaulineRevere: I am proud to say my congressman will not vote for #Obamacare and will not whore himself or his brother out to chang ...,,Bellanieve,10485164370,20198802,en,web,,,0,0,0,0
RT @PaulineRevere: PLEASE RT and CALL: Tell your congressman to VOTE NO ON #OBAMACARE TOLL-FREE PHONE 1-866-220-0044 via @RoseD1st @jak ...,,angel_inwhite,10485148437,51516563,en,web,,,0,0,0,0
I am proud to say my congressman will not vote for #Obamacare and will not whore himself or his brother out to change his mind.,,PaulineRevere,10485134225,28685202,en,<a href="http://83degrees.com/to/powertwitter" rel="nofollow">Power Twitter</a>,,,0,0,0,0
PLEASE RT and CALL: Tell your congressman to VOTE NO ON #OBAMACARE TOLL-FREE PHONE 1-866-220-0044 via @RoseD1st @jake1822,,PaulineRevere,10485101995,28685202,en,<a href="http://83degrees.com/to/powertwitter" rel="nofollow">Power Twitter</a>,,,0,0,0,0
This "historic" vote if passed will either bring this country down or it will add fuel to a already burning fire  #tcot #obamacare #gop,,pjgudaitis,10484937494,102536904,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
RT @PaulineRevere: PLEASE RT and CALL: Tell your congressman toVOTE NO ON #OBAMACARE TOLL-FREE PHONE 1-866-220-0044 via @RoseD1st @jake1822,,Youcanvote,10485317416,52203308,en,<a href="http://www.tweetdeck.com/" rel="nofollow">TweetDeck</a>,,,0,0,0,0
RT @PaulineRevere: PLEASE RT and CALL: Tell your congressman to VOTE NO ON #OBAMACARE TOLL-FREE PHONE 1-866-220-0044 via @RoseD1st @jak ...,,eddesez,10485653576,35240682,en,web,,,0,0,0,0
RT @Joedeck: @Justsnapd8  What a load of CRAP.   #tcot #hcr #912 #sgp #palin #ocra #tlot // YES #Obamacare is a load of crap!,,Justsnapd8,10484774454,31271968,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
@GOPLeader it seems to you #obamacare is about obama not care 1million will disagree w u surender your #hcr if u think u can replace it,7713202,accesskim,10484137562,115671876,en,web,,,0,0,0,0
RevisedBlog Post: It Does Not Matter What the CBO Says the Democrats... http://bit.ly/a5b2PT #ericcantor #foxnewssunday; #obamacare #twog,,ConservativeEye,10484857431,111345339,en,web,,,0,0,0,0
RT @drbloem: #Virginia Bans Mandatory #Healthcare - More States Will Follow If #ObamaCare Is Not Killed http://bit.ly/bRu23F #killthebil ...,,CLHunting1,10487579188,81988652,en,web,,,0,0,0,0
Abortion Language Likely to Remain Unchanged  http://tinyurl.com/yk7umel  #tcot#ucot #sgp #BartStupak #senate #Congress #HCR #NO #Obamacare,,uprightinusa,10487185130,70880242,en,web,,,0,0,0,0
RT @ConservativeLA: #teaparty #tcot #tlot #ocra #stopobamacare #obamacare RT@texasmcmanus Email Congress http://bit.ly/aR1ILU #killthebill,,Lostmybeer,10486712528,80182186,en,web,,,0,0,0,0
#teaparty #tcot #tlot #ocra #stopobamacare #obamacare RT@texasmcmanus Email Congress http://bit.ly/aR1ILU #killthebill,,ConservativeLA,10486465788,17934084,en,web,,,0,0,0,0
RT @EWRoss SLAUGHTER-HOUSE SUICIDE - Democrats at the Point of No Return http://bit.ly/VtWlc #tcot #gop #obamacare,,reimagin,10485988257,16274815,en,<a href="http://www.stone.com/Twittelator" rel="nofollow">Twittelator</a>,,,0,0,0,0
@PoliJAM  White House Press Secretary: “This Is the Week” Govt #ObamaCare Takeover Gets Passed http://bit.ly/9uUBlw (VIDEO) #tcot #sgp,15752013,a12iggymom,10485966613,15730764,en,web,,,0,0,0,0
To speak of saving $1 trillion over 10 years while adding over $1 trillion in debt each year over the same 10 yrs is insane. #obamacare,,larrymwalkerjr,10485849866,15847001,en,<a href="http://www.seesmic.com/" rel="nofollow">Seesmic</a>,,,0,0,0,0
Recap of the MN Kill The Bill Rally 2010-March-13  http://bit.ly/bzaeDR #tcot #teaparty #hcr #obamacare,,passepartout,10486794836,1693181,en,<a href="http://bit.ly" rel="nofollow">bit.ly</a>,,,0,0,0,0
RT @LC_Tea_Party: Scott Brown "An entire year has gone to waste" http://bit.ly/blsL2a  #tcot  #teaparty #obamacare,,marthad1,10486969178,17726384,en,web,,,0,0,0,0
To speak of saving $1 trillion over 20 years while adding over $1 trillion in debt each year over the same is  insane. #obamacare,,larrymwalkerjr,10487083623,15847001,en,<a href="http://www.seesmic.com/" rel="nofollow">Seesmic</a>,,,0,0,0,0
Gibbs says next Sunday #Obamacare wil be the law of the land....Not if Americans of good will call their Members of Congress!!,,RegulusdeLeo,10489297169,23137205,en,web,,,0,0,0,0
RT @jimgeraghty So in the end #Obamacare [will]  pass with 51 Senate votes and 0 House votes. Which is completely unconstitutional #tyranny,,jimjanradio,10489423557,103653681,en,web,,,0,0,0,0
RT @jimgeraghty So in the end #Obamacare [will] pass with 51 Senate votes and 0 House votes.| Which is completely unconstitutional #tyranny,,jimjanradio,10489455815,103653681,en,web,,,0,0,0,0
http://twitpic.com/18muiq - Obama Akbar! Democrats Terror Plot. #slaughtercare #obamacare #procedure (via @larrymwalkerjr),,questmaker,10488452134,19813551,en,<a href="http://www.stone.com/Twittelator" rel="nofollow">Twittelator</a>,,,0,0,0,0
