text,to_user_id,from_user,id,from_user_id,iso_language_code,source,profile_image_url,geo_type,geo_coordinates_0,geo_coordinates_1,created_at,time
Escudos Humanos - Contención #Tsunami: Defensa Civil Capacitará a Más de 3000 Ciudadanos en el Litoral Peruano,,El_ErRaldO,10510765965,47057643,en,<a href="http://ubertwitter.com" rel="nofollow">UberTwitter</a>,,,0,0,0,0
RT @El_ErRaldO: Escudos Humanos - Contención #Tsunami: Defensa Civil Capacitará a Más de 3000 Ciudadanos en el Litoral Peruano,,mister_kite,10511269656,4795701,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
Carta de inundación por #Tsunami de #Constitucion http://www.shoa.cl/servicios/citsu/citsu_constitucion.pdf #Chile,,xecy,10512426698,16059787,es,web,,,0,0,0,0
@andyjamesnelson "Time and Tide wait for no man!"  I have always lived at least 150 feet above sea level. #globalwarming #tsunami,16908164,RossHaffenden,10513839095,51060049,en,web,,,0,0,0,0
LosVilos #terremotochile #shoa #onemi Descargar copiar difundir: Mapas Inundación en caso de #Tsunami en #Chile - http://tinyurl.com/yak5hge,,calle_allende,10513903536,59433900,en,web,,,0,0,0,0
Escudos Humanos / Contención #Tsunami: Defensa Civil Capacitará a Más de 3000 Ciudadanos en el Litoral Peruano,,El_ErRaldO,10514029403,47057643,en,<a href="http://ubertwitter.com" rel="nofollow">UberTwitter</a>,,,0,0,0,0
Mejillones #terremotochile #onemi #shoa Descargar copiar difundir: Mapas #Inundación en caso #Tsunami en #Chile - http://tinyurl.com/yak5hge,,calle_allende,10515341462,59433900,en,web,,,0,0,0,0
Serena #terremotochile #shoa #onemi Descargar copiar difundir: Mapas #Inundación en caso de #Tsunami en #Chile - http://tinyurl.com/yak5hge,,calle_allende,10517231393,59433900,en,web,,,0,0,0,0
#tsunami captado por un celular #terremotochile.. http://sinvdoble.blogspot.com/2010/03/tsunami-en-constitucion-captado-por-un.html,,sinvdoble,10519288094,118370518,en,<a href="http://echofon.com/" rel="nofollow">Echofon</a>,,,0,0,0,0
RT @calle_allende: #LosVilos #terremotochile Descargar copiar difundir: Mapas secretos Inundación en caso de #Tsunami en #Chile - http:/ ...,,melyta_22,10523914173,109942334,es,web,,,0,0,0,0
Eh... num queria dizer isso não mas estamos perto do fim dos tempos... vá se preparando... #terremoto #tsunami #quentedemais #2012,,laurojljunior,10524062346,52254712,en,web,,,0,0,0,0
efectos de recogida de mar por el #tsunami #tusunami http://www.youtube.com/watch?v=GGFEmxqoTgg&feature=player_embedded,,jotacerider,10524829606,88789000,es,web,,,0,0,0,0
Kusten Chili getroffen door nieuwe aardbeving http://bit.ly/9Ne7o0 #aardbeving #tsunami #onweer-online,,Jantje_,10525186216,14590911,en,web,,,0,0,0,0
#Coronel #terremotochile #apagonchile Descargar copiar difundir: mapas Inundación en caso de #Tsunami en #Chile - http://tinyurl.com/yj9tj6x,,calle_allende,10525666757,59433900,en,web,,,0,0,0,0
Movimiento Sismico en #CHILLAN alguna informacion #terremotochile #rptw #sismo #chile #tsunami,,djfoxmix,10525895712,32623525,es,web,,,0,0,0,0
Impossivel #Tsunami no Brasil? Olha que bateu na trave =))  http://www.vcnoimirante.com/noticias/pagina4600.shtml,,MarcusTayy,10528495676,34279674,en,web,,,0,0,0,0
