text,to_user_id,from_user,id,from_user_id,iso_language_code,source,profile_image_url,geo_type,geo_coordinates_0,geo_coordinates_1,created_at,time
ソネットのサイト管理者は無能だな。何度もサイトの不具合を知らせてんのにいっかな改善しようとしない。ソニーの社員質が落ちたのか？がっかり。気を取り直して豆を焼こう。BGMはビル・エバンス #daimyo #coffee,,fucco_mame,14755366904,106184706,ja,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,http://a1.twimg.com/profile_images/816553550/cherry1_normal.JPG,,0,0,Wed 26 May 2010 10:52:02 +0000,1274871122
Most #Expensive #Coffee in The #World! - http://bit.ly/4X3Hhx (via @Minervity),,AmitV_Tweets,14755567241,118417130,en,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,http://a3.twimg.com/profile_images/930440015/New_Hunk_normal.jpg,,0,0,Wed 26 May 2010 10:57:05 +0000,1274871425
@FinnPoitier oh yeah. Commenting on @mcgillivary is thirsty work! *licks her lips* More #coffee!,4744203,tsaijie,14755831975,8089379,en,&lt;a href=&quot;http://ubertwitter.com&quot; rel=&quot;nofollow&quot;&gt;UberTwitter&lt;/a&gt;,http://a1.twimg.com/profile_images/747652842/headshot_normal.png,,0,0,Wed 26 May 2010 11:03:25 +0000,1274871805
I'm coffe lover and I try many kinds of coffee finally i found Italian coffe Lavazza Caffe Espresso http://amzn.to/dibhO8 #coffee #shop,,InnoDerm,14755866834,116050462,en,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,http://a1.twimg.com/profile_images/896131320/natasha-yi-2_normal.jpg,,0,0,Wed 26 May 2010 11:04:16 +0000,1274871856
I made a Lavazza Caffe Espresso with this machine Keurig B70 Platinum Single-Cup Home Brewing System http://amzn.to/9owomv #coffee #shop,,InnoDerm,14755875710,116050462,en,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,http://a1.twimg.com/profile_images/896131320/natasha-yi-2_normal.jpg,,0,0,Wed 26 May 2010 11:04:29 +0000,1274871869
It's almost too hot to drink #coffee. #fb,,buddy5582,14755943706,3962943,en,&lt;a href=&quot;http://mobile.twitter.com&quot; rel=&quot;nofollow&quot;&gt;Twitter for Android&lt;/a&gt;,http://a3.twimg.com/profile_images/673262763/DSC_8976P_normal.jpg,,0,0,Wed 26 May 2010 11:06:09 +0000,1274871969
@paras0389  Hahaha....that was at #Starbucks - You get the Best #coffee in the world there. Just wanted to experience everything.,52693361,prkworld,14756006881,29354384,en,&lt;a href=&quot;http://www.tweetdeck.com&quot; rel=&quot;nofollow&quot;&gt;TweetDeck&lt;/a&gt;,http://a3.twimg.com/profile_images/545120035/abstract-05g_1024x768_normal.jpg,,0,0,Wed 26 May 2010 11:07:41 +0000,1274872061
waiting for #coffee. #tired. Think guy coming to quote 4 repairs gonna b disappointed no $ to do them for a month or two at least.,,mutantpenguin,14756069550,4117715,en,&lt;a href=&quot;http://twitter.com/&quot;&gt;web&lt;/a&gt;,http://a3.twimg.com/profile_images/432847805/Opus2_normal.jpg,,0,0,Wed 26 May 2010 11:09:06 +0000,1274872146
RT @prkworld2010@paras0389 Hahaha....that was at #Starbucks - You get the Best #coffee in the world there. Just wanted to experience e...,,coffeebeantimes,14756071114,15650982,en,&lt;a href=&quot;http://twitterfeed.com&quot; rel=&quot;nofollow&quot;&gt;twitterfeed&lt;/a&gt;,http://a1.twimg.com/profile_images/206287882/coffee_normal.jpg,,0,0,Wed 26 May 2010 11:09:08 +0000,1274872148
Rise and grind.. off to work.. umm where's my #coffee ?,,RegBrockzzz,14756177393,71467966,en,&lt;a href=&quot;http://tinyurl.com/tweetcaster&quot; rel=&quot;nofollow&quot;&gt;TweetCaster&lt;/a&gt;,http://a1.twimg.com/profile_images/794869046/RegBrockzzz_normal.jpg,,0,0,Wed 26 May 2010 11:11:41 +0000,1274872301
