text,to_user_id,from_user,id,from_user_id,iso_language_code,source,profile_image_url,geo_type,geo_coordinates_0,geo_coordinates_1,created_at,time
I feel like bein around people but not sayin a word . #dontjudgeme .,,itsTyreon,10397001184,50520176,en,<a href="http://www.nibirutech.com" rel="nofollow">TwitBird iPhone</a>,,,0,0,0,0
RT @ohSOloka_nena: RT @PapaBurr #FF @ohSOloka_nena &lt;--- She gon make me Puerto Rican Rice one day #DontJudgeMe lol &gt;&gt;ohh hellz  ...,,PapaBurr,10397042226,43376373,en,web,,,0,0,0,0
Bout 2 hop n da shower...I kno its kinda late bt heyy I been sleep n doin hw all day #dontjudgeme,,JCMisthereason,10397063135,93880258,en,<a href="http://twidroid.com" rel="nofollow">twidroid</a>,,,0,0,0,0
@tiabeezyy lol i wanted to keep it at heart lol #Dontjudgeme,51938653,HEFMARK150,10397066358,30707974,en,web,,,0,0,0,0
RT @imtroyirock #QUESTION Favorite alcoholic drink? &lt;-- hard question... itd have to be between Root Beer and Wine Coolers #DontJudgeMe,,PapaBurr,10397073051,43376373,en,web,,,0,0,0,0
@xoBeyondPretty #dontjudgeme,61744500,ThisisKeLLz,10397077425,44195141,en,<a href="http://www.deliciousmorsel.com/app/twee" rel="nofollow">Twee</a>,,,0,0,0,0
so i said i wanted to have a mirror on my ceiling when im older .. and i got called a freak ..#dontjudgeme looool,,Ms_Sierra_Leone,10397107438,46262679,en,web,,,0,0,0,0
Bavarian cream!! RT @BwatLive: Mmhhhhh I want some donuts ! #dontjudgeme,,1_twentyseven,10397112508,26601080,en,<a href="http://ubertwitter.com" rel="nofollow">UberTwitter</a>,,,0,0,0,0
fuckin wit this alice and wonder land 1x......#dontjudgeme,,TRUBZ619,10397115014,65732287,en,<a href="http://m.twitter.com/" rel="nofollow">mobile web</a>,,,0,0,0,0
I love Phineas and Ferb! Disney Kid For Life! #dontjudgeme,,DearKonah,10397116643,108750005,en,<a href="http://tinyurl.com/tweetcaster" rel="nofollow">TweetCaster</a>,,,0,0,0,0
#RandomThought... I know how to fold a sheet by myself....#DontJudgeMe lol,,tyannaLW,10397129186,36534898,en,web,,,0,0,0,0
RT @waldoishere: Somethin bout heels clicking and a tight skirt screams sexy librarian fantasy #DontJudgeMe // I got you!!,,NahLyssa,10397142064,30699633,en,<a href="http://ubertwitter.com" rel="nofollow">UberTwitter</a>,,,0,0,0,0
RT @Quin_ @JUSBELLE lol im so hungry!~~ I just ate but I want some more food lol #dontjudgeme,,JUSBELLE,10397188060,108355355,en,<a href="http://www.stone.com/Twittelator" rel="nofollow">Twittelator</a>,,,0,0,0,0
@TeciaNicole lmao #dontjudgeme,50808416,MarcusIsAmazing,10397199802,29876634,en,web,,,0,0,0,0
This my first time hearing Roger That and seeing the video. #DontJudgeMe,,Delchaune,10397208485,25586938,en,<a href="http://ubertwitter.com" rel="nofollow">UberTwitter</a>,,,0,0,0,0
@Travellakabizz UNFORTUNATELY I KNOW HOW COCO BUTTER TASTES AND THE SMELL IS SO MUCH BETTER... #DONTJUDGEME LOL,81707034,GlamSuperModel,10397235199,64135399,en,web,,,0,0,0,0
In the grocery store singing along to Backstreet Boys..."I want it that way" lol #dontjudgeme,,MsDaniBaby21,10397274700,29865354,en,<a href="http://www.tweetdeck.com/" rel="nofollow">TweetDeck</a>,,,0,0,0,0
@DaLifeOfaPrince Some Wiz Khalifa.. alill bit of Lady Gaga. lmll. #dontjudgeme . idkk but she madd weirdd which is whyy i like da woman.,71719628,ItzPinoyy,10397421003,68561573,en,web,,,0,0,0,0
#ithinkthat Don Cornelius was dead while hosting Soul Train  #dontjudgeme,,kendence,10397457474,25888927,en,<a href="http://www.tweetdeck.com/" rel="nofollow">TweetDeck</a>,,,0,0,0,0
iightt. soo. im listenin to a playlist with all Wiz K. and Lady gaga made by da female friend shannel.Not that badd. lmao #dontjudgeme !!!!,,ItzPinoyy,10397460096,68561573,en,web,,,0,0,0,0
baby baby baby OOOOOOOOOOOO #dontjudgeme,,HighDefN,10397478514,29877564,en,<a href="http://m.twitter.com/" rel="nofollow">mobile web</a>,,,0,0,0,0
#dontjudgeme i fux wit dat song!,,CrazyDawg07,10397495384,51298326,en,web,,,0,0,0,0
Hmmm #dontjudgeme but Justin Bieber almost looks like a boyish dike. Like how a white girl would look if she were a stud lmao! #okbye,,its_TiffyB_omg,10397506304,96028696,en,web,,,0,0,0,0
Watching iCarly on nick..#dontjudgeme,,McFLYHiGH21,10397560312,104906460,en,web,,,0,0,0,0
so i`m def going to the caf with my hair wrapped up. btch its study day #dontjudgeme and im H0WNGRY!,,SHESaD0LL,10397571161,67069715,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
RT @DHD_Dimplez: RT @CHiCbabyy @DHD_Dimplez lmao & you talk abt me !! &lt;&lt;&lt;well u took a pic -- lmao #dontjudgeme,,CHiCbabyy,10397621321,89818988,en,<a href="http://ubertwitter.com" rel="nofollow">UberTwitter</a>,,,0,0,0,0
@lishnik #dontjudgeme...lol,67668558,TheReal_IceCold,10397659170,70830154,en,<a href="http://echofon.com/" rel="nofollow">Echofon</a>,,,0,0,0,0
I wonder what her threesomes are lookin like... #imjustsaying #dontjudgeme,,Seattlesrandi,10397675922,39187663,en,<a href="http://twidroid.com" rel="nofollow">twidroid</a>,,,0,0,0,0
RT @DanaLashell: Ready to get wasted and talk reckless #dontjudgeme&lt;===dang u mean!! Lol,,CheckWoodz,10397683294,42033448,en,<a href="http://echofon.com/" rel="nofollow">Echofon</a>,,,0,0,0,0
