text,to_user_id,from_user,id,from_user_id,iso_language_code,source,profile_image_url,geo_type,geo_coordinates_0,geo_coordinates_1,created_at,time
HOT SWIMMER GUY IS ON GNW #win !!,,__caitlinn,10510994881,47588970,en,web,,,0,0,0,0
@jonteskywalker #WIN,118044620,nollatta,10511020047,62269440,en,web,,,0,0,0,0
OI he is a babe ay RT @__caitlinn HOT SWIMMER GUY IS ON GNW #win !!,,esiuolouise,10511023862,48962369,en,<a href="http://twitterrific.com" rel="nofollow">Twitterrific</a>,,,0,0,0,0
OMG iknowright! He is so so pretty. RT@esiuolouise OI he is a babe ay RT @__caitlinn HOT SWIMMER GUY IS ON GNW #win !!,,__caitlinn,10511113809,47588970,en,web,,,0,0,0,0
Bara 26 jobbtimmar kvar sen är det heeelg! #win,,sarlinde,10511195234,23419672,en,<a href="http://echofon.com/" rel="nofollow">Echofon</a>,,,0,0,0,0
Falta pouco para as férias  #WIN #BRASIL #SOl #CALOR #FAMILIA #AMIGOS,,thiagochapa,10511240132,26071858,en,<a href="http://echofon.com/" rel="nofollow">Echofon</a>,,,0,0,0,0
RT @AddTips: Desktop Google Reader Notifier http://goo.gl/fb/FqEQ #windows #google #googlereader,,alihammad,10511301113,13933272,en,<a href="http://apiwiki.twitter.com/" rel="nofollow">API</a>,,,0,0,0,0
mid way through editing a doc #win7 decides to reboot to configure updates #fail,,johnbradford,10511307774,795801,en,<a href="http://code.google.com/p/pocketwit/" rel="nofollow">PockeTwit</a>,,,0,0,0,0
EIS is a brilliant concept. Investors invest in your business and they get 20% of the investment back tax free. #win,,alanodea,10511314604,14323869,en,<a href="http://www.hootsuite.com" rel="nofollow">HootSuite</a>,,,0,0,0,0
Follow @OneFourYou to win a holiday to London Paris or New York! RT this message for a bigger chance! http://14u.at/1  #competition  #win,,alsmonster,10511369827,17850506,en,web,,,0,0,0,0
WIN a High Sierra bag for functionhigh quality & great travels! 3/25 @thxmailcarrier @HighSierraSport! http://bit.ly/bMmLvH #win #giveaway,,Ardy22,10511377750,16078680,en,web,,,0,0,0,0
Follow @OneFourYou to win a holiday to London Paris or New York! RT this message for a bigger chance! http://14u.at/1 #competition #win,,mrstracey1972,10511392720,19227226,en,web,,,0,0,0,0
Wer möchte was gewinnen? Das erste Horrorblog.org Gewinnspiel! http://ow.ly/1j5Ri #horror #win #gewinnspiel #gewinnen #dvd #aktion,,horrorblogorg,10511408700,60517160,de,<a href="http://www.hootsuite.com" rel="nofollow">HootSuite</a>,,,0,0,0,0
Follow @OneFourYou to win a holiday to London Paris or New York! RT this message for a bigger chance! http://14u.at/1  #competition  #win,,madbird32,10511409263,20496669,en,web,,,0,0,0,0
For the current sprint we successfully implemented stand-up meetings - communication over tools. #agile #win,,aheil,10511425916,7553512,en,web,,,0,0,0,0
#Win the Nelle & Lizzy jewelry of your choice (up to $75.00 in value!) http://tinyurl.com/yhl9eta #Giveaway @pennypinchingma,,mframe00,10511441786,95654176,en,web,,,0,0,0,0
Follow @OneFourYou to win a holiday to London Paris or New York! RT this message for a bigger chance! http://14u.at/1 #competition #win,,paulinepppp,10511444369,79451149,en,<a href="http://www.tweetdeck.com/" rel="nofollow">TweetDeck</a>,,,0,0,0,0
K-Rudd with cropped action man hair #gnw #win,,tardisland,10511453595,23724177,en,web,,,0,0,0,0
I ♥ ____ shirts at Fibers.com - what do YOU love? WIN a $25 gift card at @thxmailcarrier from @fibers! http://bit.ly/9wNlsL #win #giveaway,,mframe00,10511484915,95654176,en,web,,,0,0,0,0
RT: I love @Ticketline and want to win a Mug a Pen and a £25 Gift Card. *4 winners picked when we hit 2000 followers* #comp #win,,sharonald,10511488813,33554402,en,<a href="http://www.tweetdeck.com" rel="nofollow">TweetDeck</a>,,,0,0,0,0
Follow @OneFourYou to win a holiday to LondonParis or New York! RT this message for a bigger chance! http://bit.ly/92hgPb #competition #win,,lyndac123,10511504449,90577454,en,<a href="http://www.tweetdeck.com/" rel="nofollow">TweetDeck</a>,,,0,0,0,0
